ngiemboon,en
"Aa mèŋ Jẅíndè, nyìŋ gẅie à faʼa fàʼa Yěsô Keleto, ńgwɔ́ fɛ̌ Jÿâg. N túmo yɔɔn ŋwàʼne ńnáa mbwó pi pie Tá wege Ssé la tóŋo gẅí. À kwoŋo gẅí ńne ńtÿɔ́ʼte gẅí, ńdɔgɔ ńzẅíʼte Yěsô Keleto. ","Jude,   a servant of Jesus Christ and a brother of James:"
"Á poŋ ngie e Ssé ne ńtsɔ́ɔn mezìŋe mí, ńne ńnéŋe mbʉ́lè na pi, ńne ńgÿo pi ne ńkẅiʼi ńjúʼu ngie à kwoŋo gẅí kwàʼ mboŋó.","May mercy, peace, and love be multiplied to you.  "
"Meshǔ pɔ́ɔn petʉ̀nzẅìŋ, n kɔ̌ɔn ńzɔ́gɔ ńtsɔ́ɔn tsɔ̌ɔn léŋweʼe ŋwàʼne ńnáa mbwó pi, á na páʼ e Ssé ka gÿo pege metsèm pú ńtsẅɛ́. Táʼ, n ka neŋé tà ḿbú ńgyá fʉ̀ʼɔɔn ngie á zɛ́te ngie n ŋweʼe ńdɔg ńkẅiŋte gẅí lémaʼ ncù na nò Yěsô Keleto gie e Ssé la cʉ́me mbwó pege pʉ̀a Ssé, é maʼ tà mmó le mǒ gÿo. Yɛ̌ nò gwɔ́ pɔ́ yémɔʼɔ́ ndàʼ; atsɔ́ té ńdáʼa ńgíŋe ńgwɔ́ wó wɔ́. ","Dear friends, although I was eager to write you about the salvation we share,   I found it necessary to write, appealing to you to contend for the faith  # 3 1Tm 6:12; 2Tm 4:7 that was delivered  # 3 2Pt 2:21 to the saints once for all. "
"N gɔɔn páʼɔɔn nue tsɔ́ pʉ̀a kéen ńzɔɔn shú ńkúu tsetsɛ̀ɛ pi, pɔ́ ne sele shÿó nò mbòŋo gie e Ssé yege la lɔg ńcÿó gʉm yégè, púʼu lépʉ́le ńgÿo menò shʉ́ mɔ́b. Pɔ́ lɔgɔ púʼu, ḿmoŋe Yěsô Keleto, á gwɔ́ ndàʼ Ndè wege, yé gíle yé zɔ gẅiin wégè. Pɔ́ ée pʉ̀a tepòŋ, ńgwɔ́ pʉ̀a pie ntyě sǎg páʼ Ŋwàʼne Ssé la láʼ ńgɔɔn ntí ngʉ̀ngʉ̀ gie e kuʼu na pɔ́b. ","For some people, who were designated for this judgment long ago,  ,# 4 1Pt 2:8 have come in by stealth;  # 4 Gl 2:4; 2Tm 3:6 they are ungodly,  # 4 Mk 7:22; Rm 5:6 turning the grace of our God into sensuality and denying  # 4 Ti 1:16; 2Pt 2:1; 1Jn 2:22 Jesus Christ, our only Master and Lord."
"N ne ńkwoŋo lékímte gẅí tsɔ́ nò gie pi cwoŋo ńne ńzsé mboŋó, á gwɔ́ páʼ Cʉ̀apʉ̀a la kẅile pʉ̀a pé pà Ésàlayɛ tsɛ̀ɛ ngwòŋ Egíbtò tà pɔ́ tsẅɛ́, á gÿo ńgʉa tsetsɛ̀ɛ pɔ́b ńgÿo pʉ̀a pie é kaa záb ntʉ́m na yé wɔ́ kwéte. ","Now I want to remind you, although you came to know all these things once and for all, that Jesus   saved a people out of Egypt and later destroyed those who did not believe;  # 5 1Co 10:1–11 "
"Pi kímte nò mecÿɔ́ʼ Ssé pie é la gwága jʉʼ gie e Ssé tÿɔgɔ́ wɔ́b wó, ńgwáʼa yɔ́b jʉʼʉ lenéŋè, ńne ńtsɔ́ɔn ye mvfò. E Ssé la kwɛ́ɛ wɔ́b ndàʼndàʼ lé metsɛ̂n, ńnéŋe wɔ́b tsɛ̀ɛ mwòon nzém, pɔ́ ée wó ńzẅíʼte ngʉ̀ngʉ̀ ye lyɛʼɛ́ lÿò gie mé ge láʼ záʼ mentsaŋ. ","and the angels   who did not keep their own position but abandoned their proper dwelling, he has kept in eternal chains in deep darkness for the judgment on the great day. "
"Pi gíŋe ńkímte nò tÿǒsoŋo Sondɔm mbɔɔ ye Ngomɔɔ, tà mbɔɔ ye metsɔ́ metÿǒsoŋ mie pâ pɔ̌ la teme pàa, ńkímte páʼ pʉ̀a metÿǒsoŋ ŋwɛ́ la gÿo nò tepòŋ pɔ́ páʼ mecÿɔ́ʼ Ssé pɛ̌. Pɔ́ la ne ńgÿo menò shʉ́ tà sáʼa sǎʼ, ńdɔg mbùm yɔb ńkúbe shÿó menò mie e Ssé la záb. Áa na fʉ̀ʼɔɔn pɔ́ nuŋte tsɛ̀ɛ mmɔ̌g gẅie é té ndàʼa ḿbyé wɔ́. Á lɔgɔ ńgɔɔn nò mbwó wɔ̌wɔ́ɔ.","Likewise, Sodom and Gomorrah   and the surrounding towns committed sexual immorality and perversions,  # 7 Or and went after other flesh and serve as an example by undergoing the punishment of eternal fire.  # 7 2Th 1:8"
"Epʉ̀a pie é ka shǔ ńkúu tsetsɛ̀ɛ pi ŋwɛ́ gÿo pɔ́ páʼ pʉ̀a pie é laa tsɛ̀ɛ mɛ̌ metÿǒsoŋ. Pɔ́ kwaŋte menò mie é té tyé, á cʉa púʼu, pɔ́ lɔg mbùm yɔb ńgÿo menò shʉ́. E Ssé gɔɔn nò pɔ́ gwág gwǎg. Pɔ́ zoonte mezẅìge mie é gẅiin legúʼ. ","In the same way these people #— #relying on their dreams #— #defile their flesh, reject authority, and slander glorious ones.   "
"Tá mbà Míshÿɛ̀ɛ gẅie aa tándá mecÿɔ́ʼ Ssé la te púʼu gÿo. Á laa lyɛ̌ʼ gie pɔ́ Sátà la ne ńzoŋo nò na mbùm Mǒonsê, à te túu lɔ̌ʼ yé ńdɔg ńzoonte yé wɔ́. Tà ńcʉ́ʼ púʼu, mbà à la gɔɔn pɔ́ ndàʼ ngie: «Á poŋ ngie Cʉ̀apʉ̀a néŋ ngɔ́ʼ twó gù.» ","Yet when Michael   the archangel  # 9 Lk 1:19; 1Th 4:16 was disputing with the devil  # 9 Mt 4:1,10; Ac 13:10 in an argument about Moses’s  # 9 Ps 77:20; Mt 8:4; Heb 3:2 body, he did not dare utter a slanderous condemnation against him but said, “The Lord rebuke you! ” "
"Táʼ, á gʉa na pɛ̌ pʉ̀a, pɔ́ zoonte mmó té ne ńzsé páʼ á gwɔ́; ńgʉa na shúm sie pɔ́ zsé yɔ́b nò mǒ pɔ́ páʼ menɔ̀ɔn mbàʼ pie legye sɔ́b té wó wɔ́, sɛ̌ shúm gÿo pɔ́ pyé pyě. ",But these people blaspheme anything they do not understand. And what they do understand by instinct #— #like irrational animals #— #by these things they are destroyed. 
