ngiemboon,en
Cʉ̀apʉ̀a tsẅii mbwó Mǒonsê ngie: ,The Lord spoke to Moses: 
"Laʼte mbwó Áloŋ pâ penkʉ́ pé pembàŋa ntí shúm pwɔʼ sie ngwɔ́ pʉ̀a Ésàlayɛ lɔg ńnuŋe pwɔʼ mbwó mèŋ páʼ ngwɔ́ pɔ́ le pfɛ́, tá à cʉa púʼu pɔ́ le lɔg ńcʉŋte lezíŋ sɔ́ɔn sie ée ndʉalʉ̌a wɔ́. Mèŋ n gee Cʉ̀apʉ̀a Ssé. ","“Tell Aaron and his sons to deal respectfully with the holy offerings of the Israelites that they have consecrated to me, so they do not profane my holy name;   I am the Lord. "
"Gɔɔn né pɔ́b ngie: Nyìŋ láʼ ńgwɔ́ na ngẅɛ̀ yɔb mejwoŋó mejwoŋó tà ńcʉ́ʼʉ nyìŋ ncÿǒ, á pɔ́ɔn légiŋ ńcʉa jʉʼʉ lenuŋé pwɔʼ gẅie pʉ̀a Ésàlayɛ ge náa mbwó Cʉ̀apʉ̀a. À lɔɔn ńké ńcʉa, mbà mé ge tɔ́ʼɔ yé légíŋ faʼa fàʼ yɔ́ɔn. Mèŋ n zɔɔ Cʉ̀apʉ̀a. ","Say to them: If any man from any of your descendants throughout your generations is in a state of uncleanness yet approaches the holy offerings that the Israelites consecrate to the Lord, that person will be cut off from my presence; I am the Lord. "
"Anùŋepwɔʼ gẅie aa na ngẅɛ̀ ndá Áloŋ gẅie à gẅiin «nkàʼ pǎb» kà pɔ́ metsì wɔ́ɔ, á těen ńdáʼa ḿpfɛ́ɛ pwɔʼ Ssé wɔ́, tà láʼ tyé fʉ̀ʼ gie ncÿǒ magá na yé, ndʉŋndʉŋ páʼ nyìŋ gẅie à cʉ̌a na pfó ńcʉ́ʼʉ nyìŋ ncÿǒ, kà nyìŋ gẅie à gẅiin metsì wɔ́ɔ, ","No man of Aaron’s descendants who has a skin disease   or a discharge is to eat from the holy offerings until he is clean. Whoever touches anything made unclean by a dead person or by a man who has an emission of semen, "
kà nyìŋ gẅie à cʉa na múɔ ménɔ̀ɔn kà na nyìŋ mesoŋ gẅie à ka sele ńcʉ́ʼʉ nyìŋ ncÿǒ na tsɔ́ mmó ncÿǒ ndyɛ̀ʼɛ wɔ́ɔ. ,or whoever touches any swarming creature that makes him unclean or any person who makes him unclean #— #whatever his uncleanness #— # 
"Nyìŋ gẅie à kíbe sɛ̌ shúm ntsèm, à ge láʼ cʉ́ʼʉ nyìŋ ncÿǒ tà kú ncwònzém; à těen ńdáʼa ḿpfɛ́ɛ shúm pwɔʼ sie ée se Ssé wɔ́, à ge sɔg mbùm ye. ",the man who touches any of these will remain unclean until evening   and is not to eat from the holy offerings unless he has bathed his body with water. 
"Nèm ge gÿo gwɔ́ tà pyé, á le gíŋe ńgẅiin ncÿǒ wɔ́; à cʉa púʼu tá à leen ńké ńkuʼ páʼ à lɔɔn ńgwɔ́ á pfɛ́ shúm pwɔʼ Ssé: mélàʼmie ée sé shúm léjÿó. ","When the sun has set, he will become clean, and then he may eat from the holy offerings, for that is his food.   "
"Pɔ́ těen ńdáʼa ḿpfɛ́ɛ mbab nɔ̀ɔn gẅie à kwě kwé wɔ́, kà pɔ́ gẅie nɔ̀ɔn tsẅɛ zɔ zẅě yé kà syɛte yé syɛte wɔ́ɔ; mbà à ge cʉ́ʼʉ nyìŋ ncÿǒ. Mèŋ n gee Cʉ̀apʉ̀a Ssé. ","He must not eat an animal that died naturally or was mauled by wild beasts,  ,# 22:8 Ex 22:31; Lv 7:24; 17:15; Ezk 44:31 making himself unclean by it; I am the Lord. "
"Pɔ́ ge gÿo ne kuʼte mentÿɔgɔ́ mɔ́ɔn, tá à cʉa púʼu pɔ́ le cʉa na shúm lejÿó, ńcʉ́ʼ megàŋ mefʉa wɔ́. Á nue pɔ́ lɔɔn ńjÿó sɛ̌ shúm léjÿó te mekùʼ, mbà pɔ́ ge kwéte. Aa mèŋ Cʉ̀apʉ̀a, gẅie n da tsɔ́ʼɔ wɔ́b ńdɔg ńgÿo ngàŋafàʼ yɔ́ɔn. ","They must keep my instruction,   or they will be guilty and die because they profane it; I am the Lord who sets them apart."
"Atsɔ̌ nyìŋ gẅie à te na ngẅɛ̀ panuŋepwɔʼ wɔ́, à te láʼ pfɛ́ɛ mmó pwɔʼ gie áa ye ndʉalʉ̌a wɔ́, tà mbɔɔ ngʉ̀, ńgÿo ngàŋafàʼ gẅie à faʼa mé péen yé, á na ngẅɛ̀ ndá panuŋepwɔʼ, ngwɔ́ pɔ́ lepfɛ́ɛ mmó pwɔʼ gie áa ye ndʉalʉ̌a wɔ́. ","“No one outside a priest’s family  ,# 22:10 Ex 29:33; Nm 3:10; 18:4,7 is to eat the holy offering. A foreigner staying with a priest or a hired worker is not to eat the holy offering. "
