ngiemboon,en
"Mé la gwaa zyé Jÿâŋ, mbà Áwúsè, Kásà pà Loma ŋweʼé ŋwàʼne, ńzáb ngie mé pú sáŋ ngwòŋ pʉ̀a metsèm pie à ne sáʼa wɔ́b. ",In those days a decree went out from Caesar Augustus   that the whole empire  # 2:1 Or the whole inhabited world should be registered. 
Wɛ̌ lɔgɔ ńgwɔ́ ndùŋmvfò lesáŋ pʉ̀a púʼu. Kilinẅísè gwɔ́ fʉʼó ńgwɔ́ ngúmnɔ̀ɔn tsɛ̀ɛ ngwòŋ Sili. ,This first registration took place while   Quirinius was governing Syria.  # 2:2 Mt 4:24 
"Awɔ̌wɔ́ɔ leen ńké ńne ḿbiŋe lesaʼá pɔ́b, ńgÿo mé sáŋa yé.","So everyone went to be registered, each to his own town."
"Yesyɛ̂b fó tÿǒsoŋ Nǎzalɛd, á tsɛ̀ɛ ngwòŋ Ngalílîa, ńgee tsɛ̀ɛ pàga ngwòŋ Yúndà, á jʉʼ gie mé tóŋ lê tÿǒsoŋ fùɔ Ndavîd, á Mbɛ́tèlehɛm, á jʉʼ gie mé la zyé fùɔ Ndavîd wó, ńgee wó púʼu, mélàʼmie aa nyìŋ na ngẅɛ̀ ndá fùɔ Ndavîd. ","Joseph also went up from the town of Nazareth   in Galilee, to Judea, to the city of David, which is called Bethlehem,  # 2:4 Gn 35:19; 48:7; Jos 19:15; Jdg 12:10; 17:7–9; Ru 1:1; 1Sm 16:1; Mc 5:2 because he was of the house and family line of David,  # 2:4 Lk 1:27 "
"Pɔ́ nzwě we Malîɛ gwaa gʉa mé sáŋa wɔ́b yé, á gwɔ́ shwoŋ. ","to be registered along with Mary, who was engaged to him   and was pregnant. "
"Pɔ́ la nyé ńgwɔ́ pɔ́ Mbɛ́tèlehɛm, afʉ̀ʼ gie Malîɛ ge zyé á kuʼ. ","While they were there, the time came for her to give birth. "
"Á zyé múɔ letwó we, á gwɔ́ múɔ mbàŋa, á lɔg shúm nzsǒ ḿbwóte yé, ńnéŋe tsɛ̀ɛ ngwʉ̌ŋ shúm léjÿó menɔ̀ɔn, mbà pɔ́ ně ńzága yɔ́b jʉʼʉ lelaʼá tsɛ̀ɛ ndá megʉ̀. ","Then she gave birth to her firstborn son, and she wrapped him tightly in cloth and laid him in a manger,   because there was no guest room available for them."
"Á gwɔ́ fʉʼó, papyɛ́b mvfó shÿó jʉʼó ne ńdáʼa pǐ ḿbyɛ́bɛ mvfó yɔ́b, ","In the same region, shepherds were staying out in the fields and keeping watch at night over their flock. "
"ńgwaa gyá, Cÿɔ́ʼ Ssé kẅɛɛ mvfò pɔ́b, shʉ́shÿɔ́g Cʉ̀apʉ̀a gwoon wɔ́b, ejʉʼ pú ńkyɛ́ʼɛ, pɔ́ cʉ́ʼʉ ḿbɔ́gɔ pɔ̌g. ","Then an angel of the Lord   stood before them,  # 2:9 Lk 24:4; Ac 12:7 and the glory of the Lord  # 2:9 Ex 24:16; 40:34–35; Lv 9:6,23; Nm 20:6; 1Kg 8:11; Is 35:2; 40:5; 60:1 shone around them, and they were terrified.  # 2:9 Lit they feared a great fear "
"Táʼ, cÿɔ́ʼ Ssé ŋwɛ́ gɔɔn né pɔ́b ngie: «Tà pi pɔ́g, n tóo pɔ́ lépÿé gẅí nò mbòŋo, á gwɔ́ gie á ge náa máa lekág tsɛ̀ɛ ngwòŋ gẅí. ","But the angel said to them, “Don’t be afraid,   for look, I proclaim to you good news of great joy that will be for all the people:  # 2:10 Or the whole nation "
"Mé lǎʼ lyɛ̌ʼɔɔn, á jʉʼ gie mé tóŋ lê tÿǒsoŋ fùɔ Ndavîd, ńzyé nyìŋ gẅie à ge gÿo pi tsẅɛ́. Aa Keleto, ńgwɔ́ Cʉ̀apʉ̀a. ","Today in the city of David a Savior   was born for you, who is the Messiah,  # 2:11 Mt 1:16; 16:16,20; Jn 11:27 the Lord.  # 2:11 Lk 1:43; Ac 2:36; 10:36 "
