ngiemboon,en
"«Anò lefùɔ Ssé leen ńgwɔ́ pɔ́ páʼ nò tsɔ̌ nyìŋ gẅie à la mʉ́ mbaʼámbaʼ, ńgʉa faʼ megàŋafàʼ pie à ge néŋe tsɛ̀ɛ nkáʼa metÿǒ melùʼ wé. ", “For the kingdom of heaven is like a landowner who went out early in the morning to hire workers for his vineyard.    
Pâ megàŋafàʼ lʉʼte páʼ à ge náa tàʼa pàga nkáb mbwó tàʼ nyìŋ na lyɛʼɛ́ láʼ. Á leen ńké ńtsẅi pɔ́ gʉa né tsɛ̀ɛ nkáʼa metÿǒ melùʼ wé. ,"After agreeing with the workers on one denarius,    he sent them into his vineyard for the day. "
"Nèm lepfwɔʼɔ́ piŋ ńkuʼ, á gíŋe ńkẅɛɛ mbʉ̀a yé, ńgyá tsɔ́ ngàŋafàʼ gíŋe ńtyéte mefagá nzsè, pɔ́ té ne ńgÿo tsɔ́ mmó wɔ́. ","When he went out about nine in the morning,    he saw others standing in the marketplace doing nothing. "
"Á gɔɔn né pɔ́b ngie: “Pi gʉa gí nkáʼa metÿǒ melùʼ mèŋ, éfaʼa fàʼ. N ge gÿo lʉŋte gẅí ntsɔʼɔ́ fàʼ na fàʼa gí.” ","He said to them, ‘You also go into my vineyard, and I’ll give you whatever is right.’ So off they went. "
"Pɛ̌ pʉ̀a gʉa né nkáʼ. Angàŋ nkáʼ gÿo ńgwɔ́ tsɛ̀ɛ zsǒ, ńkẅɛ, á ńgwɔ́ mbÿɛ̀njÿó na nèm tá, á gíŋe ńgyá tsɔ́ megàŋafàʼ, ńgíŋe ńgÿo pɔ́ púʼu. ","About noon and about three,    he went out again and did the same thing. "
"Á gÿo ńgwɔ́ ncwònzém na nèm tʉ̂a, ńkẅɛ, ńgyá tsɔ́ megàŋafàʼ tyé, á zɛ́te wɔ́b ngie: “Mélàʼakɔ́ pi tyé jʉʼ yɛ̂ tà fó mbaʼámbaʼ té ne ńgÿo tsɔ́ mmó?” ","Then about five    he went and found others standing around   # 20:6 Other mss add doing nothing and said to them, ‘Why have you been standing here all day doing nothing? ’"
"Pɔ́ tsɔ́ʼ ngie: “Á gwǎ gwɔ́, mbà tsɔ̌ nyìŋ kaa tóŋo wég na fàʼ wɔ́.” Á gɔɔn né pɔ́b ngie: “Pí gʉa gí nkáʼa metÿǒ melùʼ mèŋ, éfaʼa fàʼ.” "," “ ‘Because no one hired us,’ they said to him."
"Afʉ̀ʼ ye létsɔ́ʼɔ fàʼ kuʼ, angàŋ nkáʼa metÿǒ melùʼ tsẅii mbwó nyìŋ gẅie à líe shúm sé ngie: “Tóŋ megàŋafàʼ, ńná pèen yɔb, zye na pʉ̀a pie mèŋ n toŋó wɔ́b na fàʼ pɔ́ nzèm la, ńgʉa ńkúu na pʉ̀a pie mèŋ n ně ńzye na pɔ́b.” ","When evening came, the owner of the vineyard told his foreman, ‘Call the workers and give them their pay,    starting with the last and ending with the first.’"
"Epʉ̀a pie é zyě yɔ́b fàʼ na nèm tʉ̂a ncwò nzém tó, mé náa tàʼa pàga nkáb mbwó wɔ̌wɔ́ɔ na pɔ́b. "," “When those who were hired about five came, they each received one denarius. "
"Epʉ̀a pie é ně ḿvɔg ńzye fàʼ gwaa tó yɔ́b, ńne ńkwaŋa ngie yɔb nkáb ge náʼa gyɔ́ɔn, tá mé gíŋe ńná pɔ́ tàʼa pàga nkáb mbwó wɔ̌wɔ́ɔ na pɔ́b. ","So when the first ones came, they assumed they would get more, but they also received a denarius each. "
"Pɔ́ gwaa kẅé, lóŋ wɔb ne ńgyáŋa, ńtí ngàŋ nkáʼ. ","When they received it, they began to complain to the landowner:  "
"Pɔ́ ne ńgɔɔn ngie: “Epʉ̀a pɛ̂ tǒ pɔ́ nzèm, pɔ́ fǎʼ pɔ́ ndàʼ na tàʼ nèm, ɔ̀ kě ńgíŋe ḿbéen wɔ́b pɔ́ páʼ peg la, tá mbà peg ně ńzye fàʼ tsɛ̀ɛ mbaʼámbaʼ, peg kě ńzɔ́g faʼ pɔ́ te zẅɛte, nèm ne ńtuɔ wég!” ","‘These last men put in one hour, and you made them equal to us who bore the burden of the day’s work and the burning heat.’   "
