ngiemboon,en
Pi júʼu mmó gie Cʉ̀apʉ̀a ne ńgɔɔn né mèŋ.,Now listen to what the Lord is saying:
"Pi mekwɛ́ lâ mecÿó tezóŋo mie tsetsáʼ tyé mǒ,","Listen to the  Lord’s lawsuit,  "
Cʉ̀apʉ̀a ne ńzɛ́te wɔ́b ngie:,"My people,   what have I done to you,  # 6:3 Jr 2:5"
"Á nue n da gÿo pi fó ngwòŋ Egíbtò ńkẅɛ,","Indeed, I brought you up   from the land of Egypt"
"Epʉ̀a pɔ́ɔn, shúshu, pi kímte páʼ","My people,"
«N ge gÿo lɔgɔ kɔ́ gʉa mvfò Cʉ̀apʉ̀a?,What should I bring before the  Lord   
"Cʉ̀apʉ̀a tsɔ̌ɔn pɔ́ mekùkwòon te sáŋ ńzsé nzẅìŋ,",Would the Lord be pleased with thousands of rams  
"Gù nyìŋ mesoŋ, Cʉ̀apʉ̀a ka gÿo, ɔ̀ zsé mmó gie áa mbòŋ,","Mankind, he has told each of you what is good  "
"Cʉ̀apʉ̀a ne ńgɔɔn nò mbwó patsẅé tÿǒsoŋ Yelúzálèm,",The voice of the Lord calls out to the city  
"Mé ée těen ńgee ndá pʉ̀a tepòŋ,",Are there still   the treasures of wickedness  # 6:10 Jr 5:26–27; Am 3:10
"Etsɔ́ pʉ̀a gẅiin mefʉ̀ʼncʉ̂e mie é gwɔ́ pɔ́ me fʉ̀te,",Can I excuse wicked scales
"Megàŋa mmó pie ée tsɛ̀ɛ yɔɔn tÿǒsoŋ,","For the wealthy of the city are full of violence,  "
"Áa mmó gie á ka gÿo, n zye lécúɔ gẅí,","“As a result, I have begun to strike you severely,  ,# 6:13 Mc 1:9"
"Pi ge gÿo pfɛ́ɛ mmó,","You will eat but not be satisfied,  "
"Pi ge gÿo pye mmó,",You will sow but not reap;  
"Pi ne fʉʼʉ tsẅé tepòŋ gie fùɔ Omeli gẅiin,",The statutes of Omri
