ngiemboon,en
"Yěsô fó jʉʼó, ńcʉ́me mánzsè, ńdɔg ye shÿó Jẅindê, ńgʉa né yetsɔ̌ nzǐŋ ntse Juundʉŋ. Aláʼ gíŋe ńcúʼte lejʉ́ŋ yé tà ńgyɔ́ɔn, á leen ńzye lézíʼi wɔ́b nò Ssé páʼ à laa mà mbwó yé. ","He   set out from there and went to the region of Judea  # 10:1 Lk 1:5 and across the Jordan.  # 10:1 Mt 4:15,25; Lk 3:3; Jn 1:28; 3:26; 10:40 Then crowds converged on him again, and as was his custom he taught  # 10:1 Mt 28:20; Ac 4:2; 2Tm 4:11 them again."
"Epʉ̀a na nùɔ pafalísáyè tó yɔ́b, ńgwóon ńkwaʼte yé, ńzɛ́te yé ngie: «Tà áa péʼe lepʉ̌ ségè zẅíŋ ngie nyìŋ jwoŋo nzwě we?» ","Some Pharisees   came to test  # 10:2 Jms 1:13 him, asking, “Is it lawful  # 10:2 Jn 18:31 for a man to divorce  # 10:2 Lv 21:7 his wife? ”  # 10:2 1Pt 3:1"
Yěsô zɛ́te wɔ́b ngie: «Mǒonsê la tsẅii tsɛ̀ɛ lepʉ̌ ngie pi gÿo pɔ́ lêkɔ́?» ,"He replied to them, “What did Moses    command you? ”"
"Pɔ́ gɔɔn ngie «Mǒonsê la zẅíŋ ngie mámbàŋa jwoŋo nzwě we, tá ńké ńgwaa jwoŋo yé, ḿvɔg ńŋweʼe ŋwàʼne lélɔg ńjwoŋo yé.» ","They said, “Moses permitted us to write divorce papers   and send her away.”  # 10:4 Dt 24:1,3"
"Yěsô gɔɔn mbwó pɔ́b ngie: «Mǒonsê la ná sɛ̌ lepʉ̌ mbwó pi, pɔ́ mélàʼmie à la gyá ngie pi tʉʉ twó mbwó Ssé tà á cʉa. ","But Jesus told them, “He wrote this command for you because of the hardness of your hearts.    "
"Á la ké fó nùŋe ngwòŋ, á té púʼu wɔ́. “E Ssé la pwóon mámbàŋa pɔ́ manzwě.”","But from the beginning    of creation   # 10:6 Jn 1:3; Rv 3:14 God   # 10:6 Other mss omit God made them male and female.   # 10:6 Gn 1:27; 5:2,# 10:6 Gn 1:27; 5:2 "
"“Áa mmó gie á gÿo, nyìŋ néŋe",For this reason a man will leave    his father and mother   # 10:7 Some mss add and be joined to his wife 
Pɔ́ yé temte ńcʉ́ʼʉ tàʼ nyìŋ.”,"and the two will become one flesh.   ,# 10:7–8 Gn 2:24 So they are no longer two, but one flesh. "
"Púʼu la, nyìŋ mesoŋ pɔ́ɔn léfege mmó gie Ssé temté.»","Therefore what God has joined together, let no one separate.”   "
"Pɔ́ gÿo ḿbiŋ tà ńgwɔ́ ndá, megàŋakwò pé zɛ́te yé nò ńtí nò ayɛ̌. ","When they were in the house again, the disciples questioned him about this matter. "
"Á shwóŋo wɔ́b ngie: «Nyìŋ lɔɔn ńjwoŋo nzwě we, ńzɔ́ʼɔ wendyɛ̀ʼɛ, mbà á cʉ̌a na kʉ̀a yɔ́b ndùŋmvfò manzwě gie á tagá, á gÿo pɔ́ gÿɛ́. ","He said to them, “Whoever divorces his wife    and marries   # 10:11 1Tm 5:14 another commits adultery   # 10:11 Mt 5:27–28 against her. "
"Manzwě piŋ ńkẅɛɛ na ndúm we, ńgʉa ńzɔ́ʼɔ tsɔ̌ nyìŋ ndyɛ̀ʼɛ, mbà à gÿo pɔ́ gÿɛ́.»","Also, if she divorces her husband    and marries another, she commits adultery.”"
"Epʉ̀a ne ńdɔgɔ tsɔ́ gubé ńtóo légwɔ́ gie Yěsô ge záb mbwó na pɔ́b táʼ, megàŋakwò pé piŋ ńne ńtɔʼɔ. ","People   were bringing little children  # 10:13 Lk 1:7 to him in order that he might touch them, but the disciples rebuked  # 10:13 2Tm 4:2 them. "
