ngiemboon,en
" Ndòon ee twó Ninive, á tÿǒsoŋ gie á pfɛte pɔ́ metse,","Woe to the city of blood,  "
"Ngyè ngwɔɔn ee tÿǒsoŋ ńne ńcʉ́me lê zîb, zîb, zîb,",The crack of the whip
"Pakwɔ́ʼ melÿóon zyě ncù,","Charging horseman,"
Ninive laa káatÿǒ manzwě,"Because of the continual prostitution of the prostitute,"
Cʉ̀apʉ̀a gẅie à piʼi kɔ̀ɔkɔ́ɔ ne ńgɔɔn ngie:,I am against you.  
"N ge gÿo pÿɛ kʉ̀ŋe na gù,",I will throw filth on you
"Púʼu la, awɛ̌ nyìŋ wɔ́ɔ gẅie à ge láʼa gyá gú","Then all who see you will recoil from you, saying,  "
"Ninive, ɔ̀ kwǎŋ ngie ɔɔ pɛ́ʼɛ̀ ńgwɔ́ mbòŋ ńcʉa Tembɛ́sè keen?","Are you better than Thebes  ,# 3:8 Jr 46:25; Ezk 30:14–16"
Etíyopìa pɔ́ Egíbtò laa mbwó yé ńgwɔ́ ntóon gie,Cush and Egypt were her endless source of strength;
Tá mbà mé la gwoon pʉ̀a Tembɛ́sè,Yet she became an exile;
"Ninive, ɔ̀ ge gyá ngɔ́ʼ jú, tà pue,",You   also will become drunk;
"Metʉ̂ankáʼ mú mie ɔ̀ la pú ńkwɛ́, ńdɔg ḿbɔ́ɔn twó jú,",All your fortresses are fig trees
"Palÿɔ́ʼncù pú pɔɔn,","Look, your troops are like women among you;"
"Ninive, túʼ ntse ńdeʼe, ńdɔg ḿbyɛ́b ncù,",Draw water for the siege;
"Táʼ, ɔ̀ lɔɔn te gÿo ńkwé mmɔ̌g wɔ́,",The fire will devour you there;
Patáŋsɔ̌ɔn kɔ́ɔn ńgyɔ́ɔn láʼ gù,You have made your merchants  
Papyɛ́bɛ gú kɔ́ɔn ńgyɔ́ɔn pɔ́ páʼ membʉ̀le la.,"Your court officials are like the swarming locust,"
"Afùɔ Asili, patseen pʉ̀a pú ne ńdyé;","King of Assyria, your shepherds slumber;  "
Efʉ̌ŋ jù yɛ̂ těen ńdáʼa ńtʉʉ wɔ́;,There is no remedy for your injury;
