ngiemboon,en
"Atsɔ́ lyɛ̌ʼ láʼ ńgwɔ́, etsɔ́ mbàŋa tsɛ̀ɛ láʼ pâ mezwě pɔ́b pú ńgyáŋa lóŋ tɛʼ, ńtí mefɛ̌ pɔ́b pà Yúndà. ",There was a widespread outcry from the people and their wives against their Jewish countrymen. 
"Etsɔ́ pʉ̀a ne ńgɔɔn ngie: «Peg lâ gubé yég yembàŋa tà mbɔɔ yepanzwě gyɔ́ɔn. Peg ne ńkwoŋo légẅiin ngesáŋ ntsíŋ, ḿpfɛ́ tá ńdɔg ńgwɔ́ wó.» ","Some were saying, “We, our sons, and our daughters are numerous. Let us get grain so that we can eat and live.” "
"Petsɔ́ pʉ̀a ne ńgɔɔn yɔ́b ngie: «Peg gẅiin léná menkáʼ még na jÿɔ́ʼ, pâ metÿǒ melùʼ, mbɔɔ mendá még, tá ńdɔg ńgẅiin ngesáŋ ntsíŋ gie peg ge lɔg lÿɔ́ʼɔ cÿó.» ","Others were saying, “We are mortgaging our fields, vineyards, and homes to get grain during the famine.”   "
"Petsɔ́ pʉ̀a ne ńgɔɔn yɔ́b ngie: Peg ka lɔg menkáʼ még pâ metÿǒ melùʼ, mbɔɔ mendá még fú nkáb tá ńdɔg ḿbéen ncùb mbwó fùɔ. ","Still others were saying, “We have borrowed money to pay the king’s tax   on our fields and vineyards.  # 5:2–4 Dt 15:7–8 "
"Tá mbà mbab nnɛ́ yege pâ ye mefɛ̌ pégè gwɔ́ pɔ́ tàʼa mmó! Egubé yég yembàŋa pâ yɔ́b gwɔ́ pɔ́ tàʼa mmó! Peg ge lɔg gubé yég yepanzwě mbɔɔ yembàŋa gÿo menkwɔɔn; lelÿò gubé yég yepanzwě kéen ńzɔɔn ńdáʼ ńcʉ́ʼ menkwɔɔn, peg cʉ́ʼ patemmó, menkáʼ még pâ metÿǒ melùʼ cʉ́ʼ shúm pʉ̀a mendyɛ̀ʼɛ. ","We and our children are just like our countrymen and their children, yet we are subjecting our sons and daughters to slavery.   Some of our daughters are already enslaved,  # 5:5 Ex 21:7–11 but we are powerless  # 5:5 Lit but there is not the power in our hand because our fields and vineyards belong to others.”"
Anò la gyáŋa wɔ́ɔn tɛʼ fʉ̀ʼ gie n da júʼ páʼ pɔ́ ne shwóŋo meshwóŋè amɛ̌. ,I became extremely angry   when I heard their outcry and these complaints. 
"N záb ngie ngwɔ́ n dɔgɔ nò ńdaʼ mekěm mbɔɔ pasáʼntsaŋ, ńgɔɔn né pɔ́b ngie: Áa kɔ́ gí! Pi fu nkáb né mefɛ̌ pí ńnéŋe pì mǒ! Mèŋ n da gÿo púʼu ńtóŋo máamáa cúʼtè ńtíi wɔ́b. ","After seriously considering the matter, I accused the nobles and officials, saying to them, “Each of you is charging his countrymen interest.”   So I called a large assembly against them "
"Ńgɔɔn mbwó pɔ́b ngie: «Á gʉa na peg, mbà peg ka lɔg yeg nkáb gie peg ka gẅiin, ńcuʼ mefɛ̌ pég pà Yúndà pie mé la sẅiŋe mbwó patezsě Ssé. Á gʉa na pi mbà pi ge gÿo sẅiŋ mefɛ̌ pi, é piŋ sẅiŋe wɔ́b pɔ́ mbwó peg!»","and said, “We have done our best to buy back our Jewish countrymen who were sold to foreigners, but now you sell your own countrymen, and we have to buy them back.”   They remained silent and could not say a word.  # 5:8 Jr 8:9 "
"Mèŋ n gíŋe ńgɔɔn ngie: «Ammó gie pi gÿǒ kaa poŋo! Tà á kɔʼɔ́ te ne ńzɛ́te ngie pi néŋe ḿbɔ́g Ssé yege, ńdɔg ḿbɔ́ɔn páʼ ngwɔ́ patezsě Ssé cʉa na megàŋmbù pégè ńzoonte wégè wɔ́? ","Then I said, “What you are doing isn’t right. Shouldn’t you walk in the fear of our God   and not invite the reproach of our foreign enemies?  # 5:9 2Sm 12:14; Neh 4:4 "
"Mèŋ yɔ́ɔn, ńgÿo mefɛ̌ pɔ́ɔn mbɔɔ megàŋafàʼ pɔ́ɔn, ka fu nkáb mbɔɔ ngesáŋ ntsíŋ yege ńná né pɔ́b. Mèŋ n sẅíŋte gẅí ngie pege nyé yɛ̌ njǔ né pɔ́b! ","Even I, as well as my brothers and my servants, have been lending them money and grain. Please, let’s stop charging this interest.   "
