ngiemboon,en
"Epʉ̀a na ngẅɛ̀ ndá Lẅímbèŋ pɔ́ yé Ngâd, é la gẅiin menùɔ menɔ̀ɔn pie é gyɔ́ɔn, ḿbiŋ ńzɛɛ ssé. Pɔ́ líe ńgyá ngie à pàga láʼ Yazɛ̂ɛ pɔ́ ngwòŋ Ngalad poŋo lésẅɛ menɔ̀ɔn wó. ","The Reubenites and Gadites had a very large number of livestock. When they surveyed the lands of Jazer   and Gilead, they saw that the region was a good one for livestock. "
"Áa mmó gie á la gÿo, pɔ́ gʉa ńgyá Mǒonsê pɔ́ Elazaa nùŋepwɔʼ lâ metándá nùɔ pà Ésàlayɛ, ńgɔɔn né pɔ́b ngie: ","So the Gadites and Reubenites came to Moses, the priest Eleazar, and the leaders of the community and said, "
"«Metÿǒsoŋ Atalɔd, né ye Ndimboŋ, pɔ́ ye Yazɛ̂ɛ, mbɔɔ ye Nimla, né ye Eshÿemboŋ, pɔ́ ye Elale, né ye Sembam pɔ́ ye Nebo ńgÿo ye Mbeyoŋ, ","“The territory of Ataroth, Dibon, Jazer, Nimrah, Heshbon, Elealeh, Sebam,   Nebo, and Beon,  # 32:3 Nm 21:30; 33:47; Dt 32:49; 1Ch 5:8; Is 15:2; 46:1; Jr 48:1,22 "
"ée na megwǒŋ mie Cʉ̀apʉ̀a la kẅéte pa Ésàlayɛ pɔ́ lÿɔ́ʼ ńjÿó. Aa pàga láʼ gie á poŋo lésẅɛ menɔ̀ɔn wó, peg piŋ ńgẅiin kwàʼ menùɔ menɔ̀ɔn.» ","which the Lord struck down   before the community of Israel,  # 32:4 Nm 21:24,34 is good land for livestock, and your servants own livestock.” "
"Pɔ́ gíŋe ńkẅiʼi ńgɔɔn ngie: «Tɔ̌ɔn Mǒonsê, anò gie peg gɔ̌ɔn lɔɔn, lɔg pɔ́ pòŋontʉ́m jú, ńnáa yɔɔn pàga láʼ né peg, te gíŋ ńdɔgɔ wég ńgʉa né yetsɔ́ nzǐŋ ntse Juundʉŋ.» ","They said, “If we have found favor with you, let this land be given to your servants as a possession. Don’t make us cross the Jordan.”"
"Mǒonsê tsɔ́ʼɔ mbwó pɔ́b ngie: «Pi kwǎŋ ngie mefɛ̌ pi ge gwaa gʉa lÿɔ́ʼ ncù, pi pʉ́le ńnéŋe jʉʼɔɔn kaa? ","But Moses asked the Gadites and Reubenites, “Should your brothers go to war while you stay here? "
"Pi faʼa le maʼa kwɔ̀gmetsẅiŋ na pa Ésàlayɛ, legʉ̀a né ngwòŋ gẅie Cʉ̀apʉ̀a ka ná né pɔ́b mélàʼakɔ́? ",Why are you discouraging the Israelites from crossing into the land the Lord has given them? 
"Metá pí la gíŋe ńgÿo mmó gie pi faʼa le gÿo lɛ̂, á fʉ̀ʼ gie n da fó Kandɛ́shÿè-Mbaneya ńtúmo wɔ́b légʉa ḿmaʼa náŋ tsɛ̀ɛ ngwòŋ Kánàhan. ",That’s what your ancestors did when I sent them from Kadesh-barnea to see the land.   
"Pɔ́ gʉa tà ńkúu tsɛ̀ɛ fúʼu Eshÿekɔɔ, ḿmaʼa náŋ tsɛ̀ɛ pàga láʼ, ḿbiŋ ḿbiŋ nzèm, ḿmaʼa kwɔ̀gmetsẅiŋ na pa Ésàlayɛ légʉa né ngwòŋ gẅie Cʉ̀apʉ̀a la tʉ́ njÿó ńná né pɔ́b. ","After they went up as far as Eshcol Valley and saw the land, they discouraged the Israelites from entering the land the Lord had given them. "
"Á gwɔ́ lyɛʼó ŋwɛ́, Cʉ̀apʉ̀a pú ńgyáŋa lóŋ né pɔ́b, ńgɔɔn nò tà ńkʉa ngie: ","So the Lord’s anger burned that day, and he swore an oath:   "
"“Á gʉa na mbàŋa gie é la kẅɛɛ tsɛ̀ɛ ngwòŋ Egíbtò léfó na pie é gẅiin ngùʼ móm mbʉ́a ńdɔg ńgʉa lé mvfò, atsɔ́ wɔ́b těen ńdáʼa ńzába lejÿɔ́g na tsetsáʼ gie n da kaʼa mbwó Ábalaham, ńkaʼa mbwó Ésàg mbɔɔ mbwó Yakwɔ̂b tà ńkʉa wɔ́. Á nue pɔ́ kà te júʼ ncwò wɔ́ɔn páʼ á ne ńzɛ́te wɔ́. ","‘Because they did not remain loyal to me,   none of the men twenty years old or more who came up from Egypt will see the land I swore to give Abraham, Isaac, and Jacob  # 32:11 Nm 14:29  #— # "
"Ndàʼ Kalɛb míŋ Yefúnè gẅie à fó na nkenkÿo tsìŋendá Kenaze, pɔ́ Yǒonshûa míŋ Nûn, pie é ge gÿo kúu tsɛ̀ɛ ngwòŋ ŋwɛ́, pɔ́ zɔ̌ ka júʼ ncwò wɔ́ɔn páʼ á ne ńzɛ́te.” ","none except Caleb   son of Jephunneh the Kenizzite and Joshua  # 32:12 Ex 33:11; Nm 27:18–23 son of Nun, because they did remain loyal to the Lord.’ "
"Mǒonsê gíŋe ńkẅiʼi ńgɔɔn ngie: Á laa púʼu Cʉ̀apʉ̀a kẅiʼi ńgyáŋa lóŋ, ńtí pa Ésàlayɛ, tà ńcʉ́ʼ ńzáb pɔ́ ngie pɔ́ ge tsẅé nkùɔmekwaʼá ngùʼ móm lekùɔ, tà kwò pʉ̀a pie é la gÿo mmó gie á la pÿɔ́gɔ yé, à mag. ","The Lord’s anger burned against Israel, and he made them wander in the wilderness forty years until the whole generation that had done what was evil in the Lord’s sight was gone.   "
"Á gíŋe ńgwɔ́ fʉ̀ʼɔɔn, pi pie pi ée ngẅɛ̀ pagÿo menò tepòŋ, pi ne ńkwoŋo légiŋe na mekwò metá pi, lélɔg ḿbʉ́ʼte gyáŋalóŋ Cʉ̀apʉ̀a nzèm pa Ésàlayɛ! ","And here you, a brood of sinners, stand in your ancestors’ place adding even more to the Lord’s burning anger against Israel. "
"Pi pʉ̀a Lẅímbèŋ lâ pʉ̀a Ngâd, pi lɔɔn ńgíŋe ńtʉʉ twó mbwó Cʉ̀apʉ̀a, mbà à ge gíŋe kẅiʼi tsɔ́ mengùʼ mie pa Ésàlayɛ ge gíŋe lɔg tsẅé nkùɔmekwaʼá; pi lɔg púʼu, ńgÿo yɔɔn láʼ kúu pyé.» ","If you turn back from following him,   he will once again leave this people in the wilderness, and you will destroy all of them.”"
"Mbàŋa ya tsóte nnɛ́ né lejʉ́ŋ Mǒonsê, ńgɔɔn né yé ngie: «Ngǎŋ le! Peg ge kwɛ́ pɔ́ mekì, e néŋ menɔ̀ɔn pég tsoló, é kwɛ́ mendá, é lɔg gÿo metÿǒsoŋ, é néŋ pʉ̀a metsìŋendá még tsoló. ","Then they approached him and said, “We want to build sheep pens here for our livestock and cities for our dependents. "
"Tà à kuʼ, peg sáʼ nnɛ́ ńkaa shúm ncù, ńcʉa ńkẅé mvfò petsɔ́ pa Ésàlayɛ, ńdɔgɔ wɔ́b ńgʉa ne ngwòŋ gẅie mé ka náa mbwó pɔ́b. À gwɔ́ fʉʼó epʉ̀a na még metsìŋendá néŋe na metÿǒsoŋ mie mé kwɛ́ nkáʼ ńdɔg ńkéle, na ntí gie ngwɔ́ pʉ̀a yɔɔn láʼ le wɔ́b kíbe. ","But we will arm ourselves and be ready to go ahead of the Israelites until we have brought them into their place.   Meanwhile, our dependents will remain in the fortified cities because of the inhabitants of the land. "
Peg ge gÿo piŋe tsɛ̀ɛ mendá még pɔ́ fʉ̀ʼ gie wɛ̌ nyìŋ wɔ́ɔ na pa Ésàlayɛ neŋé na yé jʉʼʉ tsetsáʼ. ,We will not return to our homes until each of the Israelites has taken possession of his inheritance.   
"Peg lɔɔn ńgẅiin még mejʉʼʉ tsetsáʼ, á na wɔɔn nkwɔʼɔ́ ntse Juundʉŋ á shÿó sǎʼnèm, peg le gíŋe ńgẅiin tsɔ́ tsetsáʼ na gi nzǐŋ ntse páʼ pɔ́b wɔ́.» ","Yet we will not have an inheritance with them across the Jordan and beyond, because our inheritance will be across the Jordan to the east.”  "
