ngiemboon,en
Ammó gie Cʉ̀apʉ̀a Ssé la nyɛ́ʼ nÿɔ́g Abendǐasè á gyá. Á gwɔ́ mmó gie à la gɔɔn ńtí pʉ̀a Éndɔ̀m.,The vision of Obadiah.
"Cʉ̀apʉ̀a gɔɔn ngie: «Éndɔ̀m,","Look, I will make you insignificant  "
"Aŋáʼtè gie ɔɔ né yɛ̌, á ne fʉte gú!","Your arrogant heart has deceived you,  "
"Ɔ̀ lɔɔn ńdém ńgʉa tÿǒ páʼ mágúm,",Though you seem to soar   like an eagle  # 4 Jb 20:6–7; Hab 2:9
Metsǒŋ lâ mesèmncwò,"If thieves came to you,  "
"Á gíŋe ńgwɔ́ ndʉŋndʉŋ púʼu,","How Esau will be pillaged,  "
"Mé fǒ láʼ pi ńjwoŋo gẅí,",Everyone who has a treaty with you  
"Oon, mèŋ Cʉ̀apʉ̀a ne ńgɔɔn ngie:",In that day —
"Atÿǒsoŋo Temaŋ, palÿɔ́ʼncù pú ge gÿo pú cÿɔʼ tɛʼ,","Teman,  ,# 9 Gn 36:11; 1Ch 1:45; Jb 2:11; Hab 3:3 your warriors  # 9 Jr 49:22 will be terrified"
"«Pi ka túʼ mefɛ̌ pí ḿbiŋ ńzẅéte wɔ́b,",You will be covered with shame
"Pi la jʉa nnɛ́ né nzèm,","On the day you stood aloof,  "
"Éndɔ̀m, ɔ̀ lɔ̌ɔn le kág",Do not   gloat over your brother  # 12 Mc 4:11; 7:10
"Ɔ̀ lɔ̌ɔn le kúu tsɛ̀ɛ tÿǒsoŋo pʉ̀a pɔ́ɔn,",Do not enter my people’s city gate
Ɔ̀ lɔ̌ɔn le záʼte ńgʉa ńtyé mefegé nzsè,"Do not stand at the crossroads  ,# 14 Is 16:3–4"
"Á nue lyɛʼɛ́ láʼ gie mèŋ Cʉ̀apʉ̀a, n ge ŋag pʉ̀a meláʼ ntsèm,","For the day of the  Lord    is near,"
"«Pi pʉ̀a Ésàlayɛ,","As you have drunk on my holy mountain,  "
"Púʼu la, epʉ̀a pie é ge gÿo tsɔgɔ mbwó legwé, e tsẅé ndùm lekwɔʼɔ́ Siyoŋ,","But there will be a deliverance on Mount Zion,  "
"Cʉ̀apʉ̀a gɔɔn ngie: Ngẅɛ̀ Yakwɔ̂b ge gÿo cʉ́ʼ gwɔ́ pɔ́ páʼ mmɔ̌g,","Then the house of Jacob will be a blazing fire,  "
"Epʉ̀a Yúndà pe shÿó ntsíŋ ge gÿo gwoon pàga láʼa mekwɛ́ Éndɔ̀m é kẅé, epʉ̀a pie é néŋe Shÿefela, e gwoon láʼa pʉ̀a Filisi, ńkẅé. Pɔ́ cʉ́ʼ ńnéŋe pɔ́ na láʼ gie ngẅɛ̀ Efalayîm ee wó, mbɔɔ tsɛ̀ɛ láʼa pʉ̀a Samalîɛ. Epʉ̀a ngẅɛ̀ Mbɛŋjÿamɛŋ gwoon láʼa pʉ̀a Ngalad, ńkẅé.",People from the Negev will possess  
"Epʉ̀a Ésàlayɛ pe shÿó twó pie é la kÿo láʼ ge cʉ́ʼ nuŋe máamáa nùɔ palÿɔ́ʼncù, é néŋe néŋe tà fó ngwòŋ Fenísè gʉa gʉa kúu ngwòŋ Salɛ́btà. Pakÿo láʼ pie é la fó Yelúzálèm ńtsẅé láʼa Sefalad cʉ́ʼ ńgʉa ńnéŋe pɔ́ tsɛ̀ɛ metÿǒsoŋ mie ée shÿó ntsíŋ.",The exiles of the Israelites who are in Halah  
"Epʉ̀a pie é ge gÿo jÿó ncù ge gÿo kwɔ́ʼ gʉa né twó lekwɔʼɔ́ Siyoŋ, é ne fóo wó, é sáʼa láʼa Éndɔ̀m.",Saviors   will ascend Mount Zion  # 21 Neh 9:27; Is 4:5; 18:7; 24:23; Dn 2:44; Mc 4:7
