ngiemboon,en
"Yɔɔn ŋwàʼne fóo mbwó mèŋ Pɔ̂ɔ, ngàŋatsǎŋ, ńtí nò Yěsô Keleto. Peg Timotê gẅie aa fɛ̌ wɔ̀gɔ nzèm Yěsô Keleto náa yɔɔn ŋwàʼne á mbwó gù Filemoŋ. Ɔɔ fɛ̌ weg we tʉ̀nzẅìŋ, pege metsèm pǔ faʼa na nò Yěsô Keleto. ","Paul,   a prisoner  # 1 2Tm 1:8; Heb 13:3 of Christ Jesus,  # 1 Rm 1:1 and Timothy  # 1 Ac 16:1; 1Tm 1:2 our brother:"
"Áa jú, ńgíŋe ńgwɔ́ ye Apia, afɛ̌ wege wemanzwě, mbɔɔ ye Aleshʉ́pè, á ngàŋakwò wege tsẅɛɛ ncù, ńgÿo cúʼtè pʉ̀a Keleto gie á kúu ndá gù. ","to Apphia our sister,   to Archippus  # 2 Col 4:17 our fellow soldier,  # 2 Php 2:25 and to the church that meets in your home.  # 2 Ac 12:12; Rm 16:5"
"Á poŋ ngie Tá wege Ssé mbɔɔ Cʉ̀apʉ̀a Yěsô Keleto ne ńcÿó gʉm gí, ńne ńnéŋe mbʉ́lè na pi!",Grace to you and peace from God our Father and the Lord Jesus Christ.
"Fɛ̌ wɔɔn Filemoŋ, n ne sẅíŋte Ssé fʉ̀ʼ ntsèm, ńké ńkwaŋte gú kwaŋte, é síe Ssé, á yé gẅie n guʼte. ","I always thank my God when I mention you in my prayers, "
E sie yé á nue n ne ńjúʼu mé laʼte ntí nkwòŋe gie ɔ̀ gẅiin nzèm pʉ̀a Ssé mbɔɔ ntí gie ɔ̀ lɔg ńzáb ntʉ́m gú na Cʉ̀apʉ̀a Yěsô Keleto. ,because I hear of your love   for all the saints and the faith that you have in the Lord Jesus. 
"N ne sẅíŋte Ssé ngie à lɔg páʼ lezǎb ntʉ́m na yé, à temte wege la, ńgÿo ngie ɔ̀ cwoŋo ńzsé menò mbòŋo mie á zɛ́te ngie pege gÿo tá ńdɔgɔ faʼa mbwó Keleto. ",I pray that your participation in the faith may become effective   through knowing every good thing  # 6 Gn 1:31; 18:18; 3Jn 11 that is in us  # 6 Other mss read in you for the glory of Christ. 
"N gɔɔn nue, nkwòŋe gie ɔ̀ gẅiin, e ka gÿo m bú ńkág tɛʼ. Afɛ̌ wɔ̀ɔn, ntʉ́m wɔ́ɔn sẅeté, á fóo na páʼ ɔ̀ ka kẅiŋte pʉ̀a Ssé.","For I have great joy and encouragement from your love, because the hearts of the saints have been refreshed   through you, brother."
"N gee ngàŋntúm Keleto, n tsɛ ńkuʼu léshwóŋo gú mmó gie á zɛ́te ngie ɔ̀ gÿo táʼ, á fó na mmó gie ɔ̀ ne gÿo, ","For this reason, although I have great boldness in Christ to command you to do what is right, "
"n gyá ngie n ge cʉa na nkwòŋe yɔ̀gɔ, ésẅíŋte gú sẅíŋte. Tà mbɔɔ páʼ mèŋ Pɔ̂ɔ, n cʉ̌ʼ pɔ́ nzẅìŋe ndÿò, n gíŋe ńgwaa gwɔ́ fʉ̀ʼɔɔn, ńgwɔ́ ndátsǎŋ, ńtí Yěsô Keleto lɔɔn. ","I appeal to you, instead, on the basis of love. I, Paul, as an elderly man   and now also as a prisoner  # 9 2Tm 1:8; Heb 13:3 of Christ Jesus, "
"N ne sẅíŋte gú na twó Onezim, aa míŋ wɔ̀ɔn na nò Yěsô gẅie n ka kúu ndátsǎŋ ńzyé. ","appeal to you for my son,   Onesimus.  # 10 In Gk, Onesimus means “useful”,# 10 Col 4:9 I became his father  # 10 1Co 4:15 while I was in chains. "
"Á laa tsɔ́ fʉ̀ʼ, ɔ̀ těen ńzẅɛ́ʼɛ yé wɔ́ táʼ, á ké ńgwɔ́ fʉ̀ʼɔɔn, ɔ̀ ge gwaa ne zẅɛ́ʼɛ yé, n ne ńzẅɛ́ʼɛ yé yɔ́ɔn.","Once he was useless to you, but now he is useful both to you and to me. "
N tumó yé ngie à piŋ nzèm ńtsɛ́ɛ gú. Aa pɛ́ʼɛ̀ ńgwɔ́ twó tʉ́m yɔ́ɔn. ,"I am sending him back to you #— #I am sending my very own heart.  ,# 12 Lit you #— #that is, my own heart "
"N gyǎ ngie á kɔʼɔ́ ḿboŋ ngie à gwɔ́ pɔ́ lejʉ́ŋ mèŋ, é ne kẅéte wɔ́ɔn na fàʼ gie ɔ́ kɔʼɔ́ ńgwɔ́ jʉʼɔɔn, mbà ɔ̀ faʼ, á na fʉ̀ʼɔɔn gie n gee menkÿo, ńtí nkʉ̀ mbòŋo lɔɔn. ","I wanted to keep him with me, so that in my imprisonment for the gospel he might serve me in your place. "
"Táʼ, n kaa kwoŋo légÿo tsɔ́ mmó tà ɔ̀ júʼu jǔʼ wɔ́. N té ne ńkwoŋo létsóte gú tsóte tá ɔ̀ gÿo nò mbòŋo na mèŋ wɔ́. N ne ńtsɔ́ɔn ngie ɔ̀ gÿo pɔ́ mmó gie ɔ̀ kwǒŋ.","But I didn’t want to do anything without your consent, so that your good deed might not be out of obligation, but of your own free will. "
"Ndyɛ̀ʼ, mbà à ka naʼá fó lejʉ́ŋ gù, ńgʉa légwɔ́ gie ɔ̀ ge gÿo gíŋe gwaa gyá yé, à gwɔ́ páʼ pi yé ge cʉ́ʼʉ ńnéŋe pɔ́ fʉ̀ʼ ntsèm. ","For perhaps this is why he was separated from you for a brief time, so that you might get him back permanently, "
"Á le gíŋe ńgwɔ́ pɔ́ nkwɔɔn wɔ́. À cʉa nkwɔɔn, ńcʉ́ʼ ńgwɔ́ pɔ́ fɛ̌ gù gẅie ɔ̀ ge kwoŋo yé tɛʼ. Aa mbwó mèŋ, ńgwɔ́ tʉ̀nzẅìŋ tà ngʉ̀a shÿɔ́ʼɔ páʼ à ge gwɔ́ mbwó gù? À ge gwɔ́ mbwó gù, é gwaa gwɔ́ nyìŋ mesoŋ wɔ́ɔ, é gíŋe gwɔ́ fɛ̌ gù nzèm Yěsô Keleto.","no longer as a slave, but more than a slave #— #as a dearly loved brother. He is especially so to me, but how much more to you, both in the flesh   and in the Lord.  # 16 1Co 16:19; Rv 11:8"
"Á lɔɔn ńgwɔ́ gie ɔ̀ zsě ngie pɔ̀gɔ ee kwò, ɔ̀ kúe yé páʼ á kɔʼɔ́ péʼe ńgwɔ́ wɔ́ɔn, mbà ɔ̀ kǔe wɔ́ɔn púʼu, ","So if you consider me a partner, welcome   him as you would me. "
"ńgwɔ́ gie à la cʉŋte tsɔ́ mmó mbwó gù, kà ɔ̀ ne ńkʉ́a pɔ́ tsɔ́ mmó mbwó yé wɔ́ɔ, ɔ̀ nyé, n gÿo ńtÿó mbwó gù. ","And if he has wronged you in any way, or owes you anything, charge that to my account.   "
"Kwàʼ mèŋ Pɔ̂ɔ zɔ lɔgɔ́ pwó yɔ́ɔn, ńŋweʼe yɔɔn jʉʼ ngie n ge gÿo tÿó mbwó gù. Táʼ, zsé ngie n gẅiin tsɔ́ mmó gie à lɔɔn ńgwɔ́, n zɛ́te ngie ɔ̀ tÿó mbwó mèŋ, á gwɔ́ páʼ ɔ̀ gwaa gẅiin légwɔ́ gẅie ɔ̀ gẅiin fʉ̀ʼɔɔn tɛʼ, ńzẅɛ́ʼɛ pɔ́ wɔ́ɔn. ","I, Paul, write this with my own hand:   I will repay it #— #not to mention to you that you owe me even your very self. "
"Afɛ̌ wɔ̀ɔn, tsétsɔʼ lɔg lezíŋ Cʉ̀apʉ̀a, ńgÿo mmó gie n ne ńdúɔ mbwó gù. Lɔg páʼ pɔ̀gɔ pǔ ńda nnɛ́ na Keleto, ḿbʉ́le ntʉ́m wɔ́ɔn.","Yes, brother, may I benefit from you in the Lord; refresh my heart in Christ. "
N dɔgɔ pɔ́ páʼ ɔɔ nyìŋ ńjúʼ ncwò tá ńŋweʼe yɔɔn ŋwàʼne. N ne ńzsé ngie ɔ̀ ge gÿo mmó gie n ne ńzɛ́te mbwó gù tà tɔ́g púʼu. ,"Since I am confident of your obedience, I am writing to you, knowing that you will do even more than I say. "
"Gíŋe ńnyɛte lûmndá, ńdɔg ńzẅíʼte wɔ́ɔn, á nue n ne ńkwaŋa ngie e Ssé lɔɔn júʼu sẅíŋtè gí, mbà mé ge gíŋe tsɔ́ʼɔ wɔ́ɔn é ná né pi.","Meanwhile, also prepare a guest room for me, since I hope that through your prayers I will be restored to you."
Epafalásè gẅie peg yé pǔ ńgwɔ́ ndátsǎŋ ńtí nò Yěsô Keleto tsyɛʼté gú. ,"Epaphras,   my fellow prisoner in Christ Jesus, sends you greetings, and so do "
"Málákúsè, mbɔɔ Alisetag, mbɔɔ Ndemásè pɔ́ Lúkáasè pie peg lâ pɔ̌ pǔ faʼa tàʼa fàʼ giŋé ńtsyɛʼte gú yɔ́b.","Mark,   Aristarchus,  # 24 Ac 19:29 Demas, and Luke,  # 24 Col 4:14; 2Tm 4:10–11 my coworkers."
"Á poŋ ngie Cʉ̀apʉ̀a Yěsô Keleto lɔgɔ légwɔ́ tsɛ̀ɛ ntʉ́m pi, ńne ńcÿó gʉm gí!","The grace of the Lord  ,# 25 2Th 3:18; Rv 11:8 Jesus Christ be with your spirit.  # 25 Ps 51:12"
