ngiemboon,en
"Áa na fʉ̀ʼɔɔn, mbà mefɛ̌ pɔ́ɔn, pi ne ńkága kǎg ńtí Cʉ̀apʉ̀a. À lɔɔn ńgwɔ́ ń de kʉ́a léŋweʼe ŋwàʼne ńnáa mbwó pi lélɔg ńkímte gẅí mmó gie n ka zɔɔn ńgɔɔn mbwó pi wɔ́. Á ge peʼe gẅí légwe na mejÿɔʼ. ","In addition, my brothers and sisters, rejoice   in the Lord. To write to you again about this is no trouble for me and is a safeguard for you."
"Pi pɔ́ɔn pazíʼi pʉ̀a mmó pie ée pe tepòŋ! Mefàʼ mɔ́b ée mbwó Ssé, ésẅile sẅile! Ayɔ́b nò gwɔ́ pɔ́ ngie mé lɔɔn te nyìŋ púʼ, e Ssé legÿo á tsẅɛ́ wɔ́. ","Watch out for the dogs, watch out for the evil   workers, watch out for those who mutilate the flesh. "
"Pege pɔɔn zɔ ee pʉ̀a pie mé la kwàʼ ḿbúʼu wégè. Pege zɔ ńgwɔ́ pʉ̀a pie é ne guʼte Ssé, ńne ńzẅíʼte nò ncwò Zẅìge yé. Pege lɔgɔ pɔ́ Yěsô ńkaʼte, à lɔɔn ńgwɔ́ pege zɔɔn le lɔg shúm sie pʉ̀a mesoŋ gÿo ńtí mà láʼ wɔb ńdɔg ńkaʼte wɔ́.","For we are the circumcision,   the ones who worship by the Spirit  # 3:3 Rm 8:4; Gl 5:25; 1Tm 3:16 of God, boast in Christ Jesus,  # 3:3 Rm 16:7; Eph 2:6; Php 1:1,15; 1Pt 5:14 and do not put confidence in the flesh #— # "
"Táʼ, n gee nyìŋ gẅie n gwéʼe ńkwoŋ, mbà à lɔɔn ńgwɔ́ n dɔg shúm sie mé gÿo ńtíi mà láʼ weg ńdɔg ńkaʼte. Tà ńgwɔ́ gie nyìŋ lɔɔn shwóŋo wɔ́ɔn ngie à zsé nò mǒ, mbà n ge shwóŋo yé yɔ́ɔn ngie n zsé nò mǒ ńcʉa yé. ","although I have reasons for confidence in the flesh. If anyone else thinks he has grounds for confidence in the flesh, I have more: "
"Mé la zyé wɔ́ɔn, é cʉa lyɛ̌ʼ lefɔ̌ɔn, mé púʼu wɔ́ɔn. N gee nyìŋ na ngẅɛ̀ Ésàlayɛ, á na tsìŋendá Mbɛŋjÿamɛŋ, ńgwɔ́ nyìŋ Ébɛ̀ tà metá pɔ́ɔn gwɔ́ pɔ́ pa Ébɛ̀, ńgʉa na lepʉ̌ pʉ̀a Ébɛ̀, n gwɔ́ nyìŋ na nùɔ pafalísáyè. ","circumcised the eighth day;   of the nation of Israel,  # 3:5 Rm 9:6 of the tribe of Benjamin,  # 3:5 Ps 68:27 a Hebrew born of Hebrews; regarding the law,  # 3:5 Ac 5:34; 22:3; Gl 1:14; 5:4 a Pharisee; "
"N dɔ̌ɔn ńtíɛ kẅǐ na lepʉ̌ tɛʼ, tà ńtsɔ́ʼɔ kwò pʉ̀a Keleto té poŋ. Lekuʼté tsẅéláʼ zɔ laa pɛ́ʼɛ̀ ńtyɛʼte ngie nyìŋ aa tefʉ̀a, mbà à lɔɔn ńgwɔ́ mèŋ shwóŋo gẅí ngie n daa tefʉ̀a.","regarding zeal,   persecuting  # 3:6 Ac 22:2–5; 26:9–11; 1Co 15:9; Gl 1:13; 1Tm 1:13; 2Tm 3:12 the church; regarding the righteousness that is in the law,  # 3:6 Rm 3:21; 9:31; 10:4–5; Gl 2:21; 3:21 blameless.  # 3:6 Lk 1:6; Rm 7:9–10"
"Táʼ, mɔɔn menò ŋwɛ́ mie é laa mbwó mèŋ ńgwɔ́ pɔ́ lemaŋ, Keleto leen ńgÿo n gyá, mbà é la gwɔ́ pɔ́ pyé. ","But everything that was a gain to me, I have considered to be a loss because of Christ. "
"É té gwɔ́ pɔ́ ndàʼ púʼu wɔ́, lezsé Yěsô Keleto, á Cʉ̀apʉ̀a wɔ̀ɔn, zɔ cʉ̌ʼ ńcʉa nò ntsèm. Akɔ̀ɔkɔ́ɔ cʉ́ʼ ńgwɔ́ pɔ́ pyé. Mbà n déen ńdʉʼ shúm ntsèm ńtí pɔ́ yé. N cʉ̌ʼ ńdíe sɛ̌ shúm ntsèm, é gwɔ́ pɔ́ kʉ̀ŋe. Keleto zɔ̌ cʉ́ʼʉ yɔ́ɔn pì, ","More than that, I also consider everything to be a loss in view of the surpassing value   of knowing Christ  # 3:8 Jn 17:3; 2Co 4:6; Gl 4:8–9; Php 1:15; Col 2:2; 1Jn 4:8 Jesus my Lord. Because of him I have suffered the loss of all things and consider them as dung, so that I may gain Christ  # 3:8 1Pt 3:1 "
"légwɔ́ gie n ge cʉ́ʼ gwɔ́ pɔ́ na mbwó mé, ngwɔ́ ń de gíŋ ngie n gee tefʉ̀a mvfò Ssé, mélàʼmie n zsé lepʉ̌ pà Yúndà wɔ́. N gee mvfò yé ńgwɔ́ tefʉ̀a ńtí pɔ́ nò gie n záb ntʉ́m wɔ́ɔn na Keleto, e Ssé zɔ gÿo ngie n gwɔ́ nyìŋ nénʉ́ páʼ wɛ̌ nyìŋ wɔ́ɔ gẅie à zǎb ntʉ́m wé na Keleto. ","and be found in him, not having a righteousness of my own from the law,   but one that is through faith in Christ  # 3:9 Or through the faithfulness of Christ  #— #the righteousness from God based on faith.  # 3:9 Rm 3:22; 10:4; Gl 2:21; Heb 11:7 "
"N ne ńtsɔ́ɔn pɔ́ tàʼa nò wémɔʼɔ́. Á gwɔ́ ngie n zsé yé Keleto, ńzsé metʉ̀ mie é la gÿo á zíme na legwé, ńgyá ngɔ́ʼ páʼ à la gyá yé, ńzẅíŋe lénáa twó yɔ́ɔn ńkwé páʼ à la náa yé, ","My goal is to know him and the power of his resurrection and the fellowship of his sufferings,   being conformed to his death,  # 3:10 Rm 6:5; 8:36; 2Co 4:7–12; 12:9–10; Gl 6:17 "
"légwɔ́ gie á lɔɔn te gwɔ́ pɔ́ ngie kà áa lêkɔ́ wɔ́ɔ wɔ́, e Ssé láʼ ńgÿo n zím yɔ́ɔn na legwé páʼ Keleto.",assuming that I will somehow reach the resurrection from among the dead.
"À lɔɔn ńgwɔ́ ń de gɔɔn ngie n kuʼu na mɔɔn menò ntsèm mie n ne ńtsɔ́ɔn lɔɔn wɔ́. N ké le gɔɔn ngie n cʉʼʉ́ nyìŋ gẅie tsɔ́ mmó té gíŋ ńne ńzága na yé wɔ́ wɔ́. N nyé mánzsè, ńtsaa ndʉ̌, ńtsɔ́ɔn légwɔ́ páʼ Keleto, mélàʼmie à kéen ńzába pwó na mèŋ ńtí púʼu. ","Not that I have already reached the goal or am already perfect, but I make every effort to take hold   of it because I also have been taken hold of by Christ Jesus. "
