ngiemboon,en
"N deen ńké ńgyá lefaŋ sesẅé mbɔɔ ndùmo ssé tsetsáʼ yesẅé. Mbà ndùŋmvfò lefaŋ mbɔɔ ndùŋmvfò ndùmo ssé tsetsáʼ kéen ḿmag, mbɔɔ ntse tépàa cʉ́ʼʉ wó wɔ́. ","Then I saw a new heaven and a new earth;   for the first heaven and the first earth had passed away,  # 21:1 Lk 21:33; 1Co 7:31; 2Pt 3:10 and the sea was no more.  # 21:1 Is 57:20; Rv 13:1,6–7 "
"M biŋ ńgyá tÿǒsoŋo Ndʉalʉ̌a, á Yelúzálèm yesẅé, á ne fóo lejʉ́ŋ Ssé ésẅɛ́ʼɛ, ńgwɔ́ páʼ nzwěngʉ̀ gẅie à kẅǐŋ mbùm ye ńne ńzẅíʼte ndúm we la. ","I also saw the holy city,   the new Jerusalem, coming down out of heaven from God,  # 21:2 Gl 4:26; Php 3:20; Heb 11:10; 12:22; 13:14; Rv 3:12 prepared like a bride adorned for her husband.  # 21:2 Is 61:10; Rv 19:7"
"N júʼ etsɔ̌ ngyè tetʉ̂ fó jʉʼʉ lʉŋe lefùɔ ńne ńgɔɔn ngie: «Áa fʉ̀ʼɔɔn, mbà jʉʼ gie Ssé néŋe wó, á gwɔ̌ tsetsɛ̀ɛ pʉ̀a mesoŋ. Pâ pɔ̌ zɔ̌ ge cʉ́ʼʉ néŋe, pɔ́ gwɔ́ pʉ̀a pé, à gwɔ́ Ssé yɔb. ","Then I heard a loud voice   from the throne:  # 21:3 Other mss read from heaven,# 21:3 Mt 19:28 Look, God’s dwelling  # 21:3 Or tent, ortabernacle is with humanity, and he will live with them. They will be his peoples,  # 21:3 Other mss read people,# 21:3 Lv 26:11–12; Jr 7:23; 30:22; 31:33; Ezk 37:27; Hs 2:23; Zch 8:8 and God himself will be with them and will be their God.  # 21:3 Other mss omit and will be their God "
À ge gÿo tsíʼi ntse nÿɔ́g mɔ́b ntsèm. Legwé te gÿo gíŋ gwɔ́ wó wɔ́. Mé le gíŋ ńdʉa legwé wɔ́. Mé le gíŋ ńgaʼte wɔ́. Mé le gíŋ ńgyá ngɔ́ʼ wɔ́. Á nue nzẅìŋe ngwòŋ kéen ḿmag.»,"He will wipe away every tear from their eyes.   Death will be no more;  # 21:4 Hs 13:14; 1Co 15:54 grief, crying, and pain will be no more,  # 21:4 Is 60:20 because the previous things  # 21:4 Or the first things have passed away.  # 21:4 Is 42:9; 2Co 5:17"
"Nyìŋ gẅie à la néŋe na lʉŋe lefùɔ gíŋ ńgɔɔn ngie: «Áa fʉ̀ʼɔɔn n ne ńgÿo kɔ̀ɔkɔ́ɔ pɔ́ sẅé sẅé.» Ḿbɔ́ɔnte ńgɔɔn né mèŋ ngie: «Ŋweʼe. Á nue nò yɔɔn té gie à lɔɔn ńgwɔ́ nyìŋ júʼ ḿmʉ́ʼte wɔ́, áa nénʉ́.» ","Then the one seated on the throne said, “Look, I am making everything new.” He also said, “Write, because these words   are faithful and true.”  # 21:5 Rv 3:14; 19:11; 22:6 "
"Ńgíŋ ńgɔɔn né mèŋ ngie: «Á zsoté. N gee Álefà, ńgwɔ́ Omégà, ńgwɔ́ ndùŋmvfò, ńgwɔ́ nzsònzèm. Agága nyìŋ lɔɔn ńne shÿó, mbà n ge ná ntse gẅie é gÿo mé ké ńgwɔ́ pɔ́ wó á mbwó yé. Wɛ̌ ntse fóo na lesaʼá ntse sɔ́ɔn, n ge ná pɔ́ sẅɛ̀ɛ sẅɛ̀ɛ. ","Then he said to me, “It is done!   I am the Alpha and the Omega,  # 21:6 Rv 1:8; 22:13 the beginning and the end.  # 21:6 Is 44:6; 48:12 I will freely give to the thirsty  # 21:6 Ps 42:1–2; Is 41:17; 44:3; 55:1; Jn 4:14; 7:37 from the spring of the water of life.  # 21:6 Ps 36:9; Jr 2:13; Jn 4:14 "
"Wɛ̌wɛ̌ nyìŋ wɔ́ɔ gẅie à mǎʼ ncù tà ńcʉa nò tepòŋ, n ge gÿo náa yɛ̌ fùʼ mbwó yé, é gwɔ́ Ssé ye, à gwɔ́ míŋ wɔ̀ɔn. ","The one who conquers   will inherit these things, and I will be his God, and he will be my son.  # 21:7 2Sm 7:14 "
"Táʼ, ńké ńgʉa na metsǒŋ, mbɔɔ na pazẅíŋ ḿbiŋ ńdʉʼ, mbɔɔ na pagÿo menò ncÿǒ, mbɔɔ na pazẅéte pʉ̀a, mbɔɔ na pagÿo menò mpfwɔ̀ʼ, mbɔɔ na pagẅiin mekàŋ, mbɔɔ na paguʼte shúm ngie ee Ssé, ńgÿo megàŋa cÿɔ̌nò metsèm, mbà yɔ́b mmó gie mé ge gÿo lɔg tsɔ́ʼɔ fàʼ yɔ́b, áa páʼ mé ge gÿo maʼa wɔ́b tsɛ̀ɛ lepÿé mmɔ̌g mekʉ̀a, à lɔgɔ ńgwɔ́ lekwé ngʉ̀a mbʉ́a.»","But the cowards, faithless,   detestable, murderers, sexually immoral, sorcerers, idolaters, and all liars  # 21:8 Rm 1:28–32; 1Co 6:9–10; Rv 22:15  #— #their share will be in the lake that burns with fire and sulfur,  # 21:8 Rv 19:20 which is the second death.”  # 21:8 Rv 20:6"
"Atsɔ̌ Cÿɔ́ʼ Ssé piŋ ńtóo lejʉ́ŋ mèŋ, ńgwɔ́ tsɔ̌ tàʼ na mecÿɔ́ʼ Ssé sɔɔnmbʉ́a pie é la kúʼte mentúʼ mɛ̌ sɔɔnmbʉ́a, menzsònzèm mengʉ̀ngʉ̀ sɔɔnmbʉ́a gwɔ́ tsoló tà ńdúe la, ńtó púʼu, ńgɔɔn né mèŋ ngie: «Tóo, N nyɛɛ gú nzwěngʉ̀, á nzwě múɔ njʉ̀njÿò.» ","Then one of the seven angels, who had held the seven bowls filled with the seven last plagues,   came and spoke with me: “Come, I will show you the bride, the wife of the Lamb.” "
"Ńgɔɔn púʼu, à Zẅìge jʉʉ wɔ́ɔn, ńkaa wɔ́ɔn ńdɔg ńgʉa ndùm tsɔ̌ máamáa lekwɛ́, ńtÿɔ́g, é sag ńgʉa tÿǒ tɛʼ, ńdeen ńké ńnyɛɛ wɔ́ɔn tÿǒsoŋ ndʉalʉ̌a, á Yelúzálèm. Á ne fóo tÿǒ lepwó á lejʉ́ŋ Ssé, ésẅɛ́ʼɛ. ","He then carried me away in the Spirit  ,# 21:10 Rv 1:10; 4:2; 17:3 to a great, high mountain  # 21:10 Ezk 40:2 and showed me the holy city, Jerusalem, coming down out of heaven from God, "
"Shʉ́shÿɔ́g gẅie à laa mǒ, à laa we Ssé, ńne ńgÿo á ŋwʉŋe páʼ tsɔ́ ntí tɔgɔ́tsye, páʼ tɔgɔ́tsye gie mé tóŋo lê jasepe, ńtele tele páʼ ngalásè la. ","arrayed with God’s glory.   Her radiance was like a precious jewel, like a jasper stone, clear as crystal. "
