ngiemboon,en
"Ngwɔ́ nyìŋ zye létúu lɔ̌ʼ pʉ̀a pie é gÿo yɛ̌ ntí menò, gù gẅie ngwɔ́ ɔ̀ tú, zsé ngie ńgwɔ́ ɔ̀ lényé té gwe jú ntsaŋ gwe wɔ́, tà páʼ ɔ̀ lɔɔn ńzɔɔn ńgwɔ́ pɔ́ wɔ̌ wɔ́ɔ. Púʼu ńtí nue ɔ̀ ne ńtúu lɔ̌ʼ pʉ̀a táʼ, ńgíŋe ne ńgÿo jú pɔ́ páʼ pɔ́b, ńdɔgɔ sele ńtúu pɔ́ ndʉ̀, ńdɔgɔ ńkwɛ́ɛ mbùm jù. ","Therefore, every one of you  ,# 2:1 Lk 12:14; Rm 9:20 who judges is without excuse.  # 2:1 Rm 1:20 For when you judge another,  # 2:1 2Sm 12:5–7; Mt 7:1; Rm 14:22 you condemn yourself, since you, the judge, do the same things. "
"Pege zɔɔn ńzsé ngie Ssé gwɔ̌ tà ne ńŋaga pʉ̀a pie é gÿo yɛ̌ ntí menò, ńŋaga wɔ́b pɔ́ páʼ menò mɔ́b ne ńzɛ́te. ",Now we know that God’s judgment on those who do such things is based on the truth. 
"Gù gẅie ɔ̀ túu melɔ̌ʼ pʉ̀a pie é gÿo yɛ̌ ntí menò, ḿbiŋe ne ńgÿo jú pɔ́ páʼ pɔ́b, ɔ̀ kwǎŋ ngie ɔ̀ ge gǎa tá tsẅɛ́ tà Ssé le néŋ ngʉ̀ngʉ̀ twó gù wɔ́? ",Do you think #— #anyone of you who judges those who do such things yet do the same #— #that you will escape God’s judgment? 
"Ɔ̀ ne ńgÿo púʼu, ńcʉ́ʼʉ ńdɔgɔ ńgwága Ssé gwǎg, ńne ngie à gẅiin pòŋontʉ́m, à te lwo ńcÿɔ́g wɔ́, à gẅiin kwɔ̀gɔnnɛ́. Ɔɔ púʼu, ɔ̀ te ne ńzsé ngie à gẅiin pòŋontʉ́m nzèm gù púʼu, pɔ́ lélɔg ńgÿo ɔ̀ kúbe mà wɔ́ ka? ","Or do you despise the riches of his kindness,   restraint,  # 2:4 Rm 3:25 and patience,  # 2:4 Ex 34:6; Rm 9:22; 1Tm 1:16; 1Pt 3:20; 2Pt 3:15 not recognizing  # 2:4 Or patience, because you do not recognize that God’s kindness  # 2:4 2Pt 3:9 is intended to lead you to repentance? "
"Ɔ̀ ne ńdʉʼʉ léjúʼu nò, ɔ̀ te ne ńkwoŋo lékúbe mà gù wɔ́, ɔ̀ lɔgɔ púʼu, ńtóŋte máamáa ngʉ̀ngʉ̀ gie e Ssé ge gÿo néŋe twó gù, á na lyɛ̌ʼ gie à ge láʼ ne néŋe ngʉ̀ngʉ̀ twó pʉ̀a. Á ge láʼa lyɛʼó, mé gyá páʼ Ssé ŋaga menò pɔ́ páʼ é ne ńzɛ́te. ","Because of your hardened and unrepentant heart you are storing up wrath   for yourself in the day of wrath,  # 2:5 Ps 110:5; 2Co 5:10; 2Th 1:5; Jd 6 when God’s righteous judgment is revealed. "
"À tsɔ́ʼɔ fàʼ ye wɔ̌wɔ́ɔ pɔ́ na páʼ ngàŋ la lɔg faʼ púʼu, ","He will repay each one according to his works:  ,# 2:6 Ps 62:12; Pr 24:12; Mt 16:27 "
"é náa legwɔ́ tèmì mbwó pʉ̀a pie é la lɔgɔ légÿo nò mbòŋo té kʉ́a, ńne ńtsɔ́ɔn ngie e Ssé zɔ náa wɔ́b legúʼ, ńnáa wɔ́b mekùʼ, ńgÿo pɔ́ gwɔ́ tsɛ̀ɛ legwɔ́ gẅie mé té gíŋe kwé mǒ wɔ́. ","eternal life   to those who by persistence in doing good  # 2:7 Lk 8:15; Heb 10:36 seek glory, honor,  # 2:7 Heb 2:7; 1Pt 1:7 and immortality;  # 2:7 Mt 25:46 "
"Tá á ké ńgʉa na pʉ̀a pie é tʉʉ twó mbwó Ssé, ńdʉʼʉ nò gie áa nénʉ́, ńgiŋe pɔ́ na mánzsè gẅie e Ssé te ne ńkwoŋo wɔ́, pɔ́ gyá páʼ e Ssé gyáŋa lóŋ na pɔ́b, mbɔɔ páʼ nò yɔ́b pÿɔ́gɔ Ssé. ",but wrath and anger to those who are self-seeking   and disobey the truth  # 2:8 2Th 2:12 while obeying unrighteousness. 
"Acʉanò ge láʼ cʉa wɔ̌wɔ́ɔ nyìŋ mesoŋ wɔ́ɔ gẅie à gÿo nò tepòŋ tà à tsẅága tsɔ́. Púʼu é zye na nyìŋ Yúndà, é pɔ́ɔnte kúu na nyìŋ gẅie à te nyìŋ Yúndà wɔ́. ","There will be affliction and distress   for every human being who does evil, first to the Jew, and also to the Greek;  # 2:9 Ac 3:26; Rm 1:16; 1Pt 4:17 "
"Á ké ńgʉa na nyìŋ gẅie à gÿo nò mbòŋo, e Ssé náa legúʼ né yé, ńná mekùʼ lé yé, ńgíŋe náa yé mbʉ́lè, ńcʉ́ʼʉ léná, ńzye na nyìŋ Yúndà, ḿbɔ́ɔnte ńnáa mbwó nyìŋ gẅie à te nyìŋ Yúndà wɔ́, ","but glory, honor, and peace for everyone who does what is good, first to the Jew, and also to the Greek. "
