ngiemboon,en
"Á laa fʉ̀ʼ gie paŋag mentsaŋ la ne sáʼa láʼa Ésàlayɛ, atsɔ̌ gwáŋa gwe tsɛ̀ɛ láʼ. Atsɔ̌ ndÿò gẅie à laa nyìŋ Mbɛ́tèlehɛm á tsɛ̀ɛ ngwòŋ Yúndà lɔgɔ nzwě we pâ penkʉ́ pé mépʉ́a ńkÿo láʼ, ńgʉa ńnéŋe tsɛ̀ɛ ngwòŋ Mowab. ","During the time   of the judges,  # 1:1 Jdg 2:16–18 there was a famine in the land.  # 1:1 Gn 12:10; 26:1; 43:1; 2Kg 8:1 A man left Bethlehem  # 1:1 Jdg 17:7; 19:1 in Judah with his wife and two sons to stay in the territory of Moab for a while. "
"Lezíŋ mámbàŋa ŋwɛ́ laa lê Elimelɛg, ese nzwě we gwɔ́ lê Nawomi. Maloŋ pɔ́ Kilyoŋ gwɔ́ gubé yɔ́b yembàŋa mépʉ́a. Pɔ́ laa pʉ̀a Mbɛ́tèlehɛm we Yúndà na nkenkÿo ndá Efelata. Pɔ́ la gʉa tà ńkúu tsɛ̀ɛ ngwòŋ Mowab, ńnéŋe wó. ","The man’s name was Elimelech, and his wife’s name was Naomi.   The names of his two sons were Mahlon and Chilion. They were Ephrathites  # 1:2 Gn 35:19; 1Sm 17:12; 1Ch 4:4; Mc 5:2 from Bethlehem in Judah. They entered the fields of Moab and settled there. "
"Elimelɛg gẅie à laa ndúm Nawomi gÿo ńkwé, Nawomi cʉ́ʼʉ mpfɔ̌g, pâ gubé yé yépʉ́a ndàʼ zɔ̌ cʉ́ʼʉ ńnéŋe. ","Naomi’s husband, Elimelech, died, and she was left with her two sons. "
"Epúɔ mbàŋa ŋwɛ́ la táa ńzɔ́ʼ, wɛ̌ nyìŋ wɔ́ɔ né wemanzwě, é gwɔ́ púɔ Mowab. Lezíŋ mvɔ̀gmvfò laa lê Olepa, ese mbɔ́ɔntè gwɔ́ lê Lẅid. Pɔ́ la tsẅé wó na mmó ngùʼ legém. ","Her sons took Moabite women as their wives: one was named Orpah and the second was named Ruth. After they lived in Moab about ten years, "
"Maloŋ pɔ́ Kilyoŋ la táa ńkwé yɔ́b. Nawomi cʉ́ʼ ńnéŋe pɔ́ gíle yé, té ndúm, té gubé yé.","both Mahlon and Chilion also died, and the woman was left without her two children and without her husband."
"Nawomi la nyé ńgwɔ́ pɔ́ tsɛ̀ɛ ngwòŋ Mowab, ńjúʼ ngie Cʉ̀apʉ̀a kéen ńgÿo nò mbòŋo na láʼa yɔ́b, ḿbiŋ ńgÿo mé jʉ́ʼ shúm é poŋ. Á leen ńké ńcwoŋte mbùm ye lélɔg mezwě gubé yé yépʉ́a ḿbiŋ né láʼ pɔ́b. ","She and her daughters-in-law set out to return from the territory of Moab, because she had heard in Moab that the Lord had paid attention to his people’s need by providing them food.   "
"Á fó jʉʼ gie à lɔɔn ńtsẅé wó pâ mezwě gubé yé yépʉ́a, ńcʉ́me mánzsè lépiŋ nzèm né tsɛ̀ɛ ngwòŋ Yúndà. ","She left the place where she had been living, accompanied by her two daughters-in-law, and traveled along the road leading back to the land of Judah."
"Nawomi gɔɔn né mezwě gubé yé ŋwɛ́ ngie: «Pi piŋ nzèm, awɛ̌ nyìŋ na pi wɔ́ɔ gʉa ńkẅɛ́te má we! Á poŋ ngie Cʉ̀apʉ̀a gÿo nò mbòŋo na pi, páʼ pi gí la gÿo nò mbòŋo na penkʉ́ pɔ́ɔn pie é la kwéte, tà mbɔɔ na mèŋ yɔ́ɔn! ","Naomi said to them, “Each of you go back to your mother’s home.   May the Lord show kindness to you as you have shown to the dead and to me. "
"Á poŋ ngie Cʉ̀apʉ̀a gÿo, awɛ̌ nyìŋ wɔ́ɔ na pi gyá we ndúm gẅie pɔ́ yé ge néŋe mboŋó.» Nawomi gɔɔn púʼu, éfaŋte mezwě gubé yé yépʉ́a, ńdɔg ńdeʼe wɔ́b, táʼ, pɔ́ pú ńgáʼa lélʉa, ","May the Lord grant each of you rest   in the house of a new husband.” She kissed them, and they wept loudly."
"ńgɔɔn né Nawomi ngie: «Ngǎŋ, pege zɔ ge pú gʉa tà kúu láʼ pi.» ","They said to her, “We insist on returning with you to your people.”"
"Nawomi gɔɔn né pɔ́b ngie: Ngǎŋ mbà gubé yɔ́ɔn, pi piŋ nzèm. Pi giŋé ńcʉ́me nzèm mèŋ ńtsɔ́ɔn kɔ́? N te gíŋ ńkuʼu lézyé púɔ mbàŋa tà pɔ́ gÿo ńgwɔ́ melúm pí wɔ́. ","But Naomi replied, “Return home, my daughters. Why do you want to go with me? Am I able to have any more sons who could become your husbands?   "
"Egubé yɔ́ɔn, pi gʉa lé membʉ̀a mí, pi lwo, m bǔ ńzẅiŋ tà à lɔɔn ngwɔ́ ń de gíŋ ńzɔ́ʼ wɔ́. N dɔɔn ńzɔɔn ńgɔɔn pɔ́ ngie: á kaa gwóon ńkwé na mèŋ kwě wɔ́, mbà peg mámbàŋa zɔɔn ńnuŋe pɔ́ letsẅɛ́ʼ lyɛ̌ʼɔɔn tà n gÿo ńzyé mbɔɔ púɔ mbàŋa, ","Return home, my daughters. Go on, for I am too old to have another husband. Even if I thought there was still hope for me to have a husband tonight and to bear sons, "
mbà à lɔɔn ngwɔ́ pi pyɛ́b tà pɔ́ láʼ ńgúʼ? Tà pi ge lʉʼʉ légíŋ ńzɔ́ʼ tsɔ́ mbàŋa ndyɛ̀ʼɛ ńtí púʼu? Ngǎŋ me gubé yɔ́ɔn! Eyɔ̀ɔn ngɔ́ʼ e cʉa gi. Cʉ̀apʉ̀a ka cúɔ pɔ́ wɔ́ɔn né pwó yé. ,"would you be willing to wait for them to grow up? Would you restrain yourselves from remarrying?   No, my daughters, my life is much too bitter for you to share,  # 1:13 Lit daughters, for more bitter to me than you because the Lord’s hand has turned against me.”  # 1:13 Jdg 2:15; Jb 19:21; Ps 32:4; 38:2; 39:10 "
"Mezwě gubé yé ya la gíŋ ḿbú ńgáʼa lélʉa, tà à gwaa zsoté, Olepa leʼe mándúm we, ńtém nzèm, ńgʉa, táʼ Lẅid ké ńcʉŋe pɔ́ na Nawomi. ","Again they wept loudly, and Orpah kissed her mother-in-law, but Ruth clung to her. "
"Nawomi gɔɔn mbwó Lẅid ngie: gyá páʼ fɔ́g gù pǐŋ nzèm ńkẅɛ́te pʉ̀a láʼ pɔ́b, mbɔɔ messé mɔ́b. Gÿo jú páʼ yé, ḿbiŋ nzèm ńgʉa ńkẅɛ́te pʉ̀a pú. ","Naomi said, “Look, your sister-in-law has gone back to her people and to her gods.   Follow your sister-in-law.”"
"Lẅid tsɔ́ʼɔ mbwó Nawomi ngie: Te tsóte wɔ́ɔn tsoté ngie n gwáʼa gú ḿbiŋ nzèm. Ɔ̀ ge láʼ pfó nzɔ̌ wɔ́, n ké ńgwɔ́ pɔ́ nzèm gù. Ɔ̀ ge gÿo néŋe nzɔ̌ wɔ́ɔ, n néŋe yɔ́ɔn jʉʼó. Epʉ̀a láʼ pú cʉ́ʼ pʉ̀a pɔ́ɔn yɔ́ɔn. E Ssé jù e cʉ́ʼ Ssé yɔ̀ɔn. ",But Ruth replied:
"Ɔ̀ ge láʼ kwé nzɔ̌ wɔ́ɔ, n kwé yɔ́ɔn pɔ́ jʉʼó, mé túŋo wɔ́ɔn jʉʼó. Legwé zɔ ge láʼ fege wɔ́gɔ̀. N dɔɔn ńdáʼ ńgwáʼa gú, Cʉ̀apʉ̀a néŋ ngɔ́ʼ mentí mentí twó mèŋ.","Where you die, I will die,"
"Nawomi la gwɔ́ tà ńgyá ngie Lẅid pú ńtyé pɔ́ lécʉ́me nzèm yé, à te gíŋ ḿbége yé wɔ́. ","When Naomi saw that Ruth was determined to go with her, she stopped talking to her."
"Pɔ́b yé mépʉ́a pú ńgʉa tà ńkúu Mbɛ́tèlehɛm. Aláʼ gyá wɔ́b, ḿbú ḿmɔɔn tɛʼ. Panzwě pú ḿmɔɔn, ńgɔɔn ngie: Tà wɔɔn aa kwàʼ Nawomi la? ","The two of them traveled until they came to Bethlehem. When they entered Bethlehem, the whole town was excited about their arrival  ,# 1:19 Mt 21:10 and the local women exclaimed, “Can this be Naomi? ”"
