ngiemboon,en
"Mèŋ n gee tôtǒ gie mé gyá na jʉʼ gie á saŋte saŋte ngwòŋ Saloŋ,","I am a wildflower   of Sharon,"
Ashǔ wɔ̀ɔn wemanzwě,"Like a lily among thorns,"
Nyìŋ gẅie mèŋ n kwoŋo yé tɛʼ,"Like an apricot   tree among the trees of the forest,"
À ka lɔgɔ wɔ́ɔn ńgʉa ndá línɔ̀ɔn.,"He brought me to the banquet hall,  ,# 2:4 Sg 1:4"
"«Pi kẅéte wɔ́ɔn né kèkɔ̀ɔn ntɔ̌ɔn tÿǒ melùʼ,",Sustain me with raisins;
"Á pǒŋ ngie à lɔgɔ pwó yé ye kyɛ̀bɛ ńtóonte twó yɔ́ɔn,","May his left hand be under my head,"
"Púɔ panzwě Yelúzálèm,","Young women of Jerusalem, I charge you"
"N ne júʼu ngyè nyìŋ gẅie mèŋ n kwoŋo yé tɛʼ,",Listen! My love is approaching.
"Nyìŋ gẅie mèŋ n kwoŋo yé,",My love is like a gazelle
"À gɔ̌ɔn nò, nyìŋ gẅie mèŋ n kwòŋo yé tɛʼ gɔ̌ɔn ne mèŋ ngie:",My love calls to me:
"Á nue fʉ̀ʼʉ mbʉ̀ŋ mǎg,",For now the winter is past;
"Áa tsɛ̀ɛ láʼ, mbà metôtǒ zyě lésɔɔn",The blossoms appear in the countryside.
"Tÿǒ pÿɛ̀,",The fig tree ripens its figs;  
Akàpʉ̀ŋ yɔ́ɔn,"My dove,   in the clefts of the rock,  # 2:14 Jr 48:28"
"Pi gwoon meshʉ̀shʉ̀ pɛ̂ ńná né peg,",Catch the foxes for us    —
"Ashǔ wɔ̀ɔn we mámbàŋa aa ngùbo twó yɔ̀ɔn,",My love is mine and I am his;  
"Tà nzěm gwaa gɔɔn ngie e síŋe sǐŋ,",Until the day breaks  
