ngiemboon,en
"Tá ńgʉa na gù, ké ne ńzíʼi pʉ̀a mmó à pumo pɔ́ na nò nénʉ́ gie mé zíʼi pʉ̀a na Yěsô Keleto. ",But you are to proclaim things consistent with sound teaching.   
"Gɔɔn né mbàŋa gie é zẅǐŋ ngie tà pɔ́ gÿo tsɔ́ mmó tà á cʉa, ngie pɔ́ gwɔ́ pʉ̀a mekùʼ, ngie pɔ́ gwɔ́ pʉ̀a pie é sáŋa nò tá ńgÿo. Pɔ́ gíŋe ńzáb ntʉ́m na Ssé tà ńzáb, ńnéŋe ńkwoŋo pʉ̀a tà ńkwoŋo, éshÿɔgɔ menò tà shÿɔgɔ.","Older men   are to be self-controlled, worthy of respect, sensible, and sound in faith, love,  # 2:2 1Co 13:1; 1Jn 4:16 and endurance. "
"Á gíŋe ńgwɔ́ pɔ́ ndʉŋndʉŋ páʼ ɔ̀ ge gɔɔn lé panzwě pie é zẅǐŋ ngie pɔ́ gẅiin mà gẅie à poŋ Ssé, ngie tà pɔ́ shwóŋte na mezíŋ pʉ̀a, ngie tà pɔ́ maʼ mbùm yɔb na melùʼ. Á zɛ́te ngie pɔ́ nyɛɛ mà wembòŋo, ","In the same way, older women   are to be reverent in behavior, not slanderers, not slaves to excessive drinking. They are to teach what is good, "
"ńzsé ngie pɔ́ ge nyɛ panzwě pie é nyé ńzɔ́ʼɔ páʼ wɛ̌wɛ̌ wɔ́ɔ, à ge «kwoŋo ndúm we mbɔɔ penkʉ́ pé púʼu, ","so that they may encourage the young women to love their husbands and to love their children, "
"à ge gwɔ́ manzwě gẅie à sáŋa nò tá ńgÿo, é gwɔ́ manzwě gẅie à te gÿo menò ncÿǒ wɔ́, é gwɔ́ manzwě gẅie à faʼ mefàʼ ndá mé mboŋó, é gwɔ́ manzwě gẅie à gÿo menò mbòŋo, é gwɔ́ manzwě gẅie à júʼ ncwò ndúm we.» Pɔ́ lɔɔn ńgÿo púʼu, nyìŋ le shwóŋe té poŋ na nò Ssé wɔ́.","to be self-controlled, pure, workers at home, kind, and in submission   to their husbands, so that God’s word  # 2:5 Lk 8:21; 2Tm 2:15; Heb 4:12 will not be slandered."
Á gíŋe ńgwɔ́ pɔ́ ndʉŋndʉŋ páʼ ɔ̀ ge kẅiŋte púɔ mbàŋa lésáŋa nò fʉ̀ʼ ntsèm tá ńgÿo. ,"In the same way, encourage the young men   to be self-controlled "
"Kwàʼ gù tyé na kɔ́ wɔ́ɔ, ńnyɛ́ pɔ́ fʉ̀ʼʉ mmó mbòŋo. Ɔ̀ lɔɔn ne ńzíʼi pʉ̀a mmó, ɔ̀ zíʼi wɔ́b pɔ́ ndàʼ nò gie áa nénʉ́, ḿbiŋ ńzíʼi tà ńzsé mmó gie ɔ̀ zíʼi yɛ̌. ",in everything. Make yourself an example of good works with integrity and dignity   in your teaching. 
"Gɔɔn nò à tyé ndʉŋndʉŋ, á gie à lɔɔn ńgwɔ́ mé le zoŋ, ńzsé ngie pʉ̀a pie é lʉʼʉ nò gie ɔ̀ gɔɔn, ge zág sóon gie pɔ́ ge zába na pege, eshʉ́ kúu wɔ́b.","Your message is to be sound beyond reproach,   so that any opponent will be ashamed, because he doesn’t have anything bad to say about us."
"Gɔɔn né menkwɔɔn ngie, pɔ́ júʼ ncwò pʉ̀a pie é gẅiin wɔ́b, tà mbɔɔ na kɔ̀ɔkɔ́ɔ, ngie pɔ́ faʼ shÿó ńgÿo mmó gie á poŋ pʉ̀a pie é gẅiin wɔ́b, ngie tà pɔ́ zoŋo nò ncwò pɔ́b, ","Slaves are to submit to their masters   in everything, and to be well-pleasing,  # 2:9 Heb 13:21 not talking back "
"ngie tà pɔ́ jʉ shúm pʉ̀a pie é gẅiin wɔ́b. Tà ńcʉ́ʼ púʼu, pɔ́ nyɛ ngie pɔ́ kwaʼ ńgwɔ́ nzèm pɔ́b. Pɔ́ lɔɔn ńgÿo páʼɔɔn, mbà pʉ̀a ge gẅiin shwóŋè mbòŋo na menò mie pege zíʼi na Ssé gie e gÿo pege tsẅɛ́ɛ.","or stealing, but demonstrating utter faithfulness, so that they may adorn the teaching of God our Savior   in everything."
"Áa páʼ pʉ̀a Ssé gẅiin légÿo, á nue e Ssé la kwàʼ nyɛɛ mbwó pʉ̀a ngie à kwoŋó wɔ́b, ńcÿó gʉm yɔ́b, tà ńgÿo légwɔ́ gie ńgwɔ́ pɔ́ metsèm tsẅɛ́. ","For the grace of God has appeared, bringing salvation   for all people,  # 2:11 Ac 1:8; Rm 10:14; 2Co 5:18–21; 1Tm 2:4; 4:10; 2Pt 3:9 "
