ngiemboon,en
"Cʉ̀apʉ̀a gẅie à la ta lefaŋ,",A pronouncement:
"«N ge lɔgɔ Yelúzálèm gÿo ntúʼ gie melùʼ gyáŋalóŋ yɔ́ɔn lúe tsoló. À ge pue twó pʉ̀a pie ée menkwɔʼɔ́ yé. Mé ge gÿo, é ne lÿɔ́ʼɔ pʉ̀a Yelúzálèm né ncù, atwó pà Yúndà pue. ","“Look, I will make Jerusalem a cup that causes staggering   for the peoples who surround the city. The siege against Jerusalem will also involve Judah.  # 12:2 Jr 4:16; Ezk 38:8–9,14–16; Zch 14:2 "
"Á ge láʼ gwɔ́ fʉʼó ŋwɛ́, n gÿo Yelúzálèm cʉ́ʼ ńgwɔ́ pɔ́ máamáa tóon gẅie ngwɔ́ nyìŋ le kuʼu lépʉʼʉ wɔ́. Epʉ̀a pie é ge gÿo faʼ shÿó lépʉʼʉ, é ge gÿo lÿóonte. Áa mmó gie á ge gÿo gÿo, ngwòŋo ngwòŋ pú ńcúʼte ńdÿɔ́ʼɔ yé lé ncù. ",On that day I will make Jerusalem a heavy stone for all the peoples; all who try to lift it will injure themselves severely when all the nations of the earth gather against her.   
"Cʉ̀apʉ̀a ne ńgɔɔn ngie: Á ge láʼ gwɔ́ lyɛ̌ʼ ŋwɛ́, m maʼ cÿɔʼ twó melÿóon pɔ́b; ḿbiŋ ńgÿo, epʉ̀a pie é néŋe mǒ, e pue. N ge láʼ tÿɔ́ʼte pà Yúndà, táʼ, é piŋ gÿo melÿóon pe tsɔ́ meláʼ, e fʉ. ",On that day” #— #this is the Lord’s declaration #— #“I will strike every horse with panic and its rider with madness.   I will keep a watchful eye on  # 12:4 Is 37:17; Jr 32:19 the house of Judah but strike all the horses of the nations with blindness. 
"Mefùɔ pà Yúndà ge gÿo sele gɔɔn tsetsɛ̀ɛ pɔ́b ngie: “Epʉ̀a Yelúzálèm tʉ, ńtí nue e Ssé yɔb, aa Cʉ̀apʉ̀a gẅie à piʼi kɔ̀ɔkɔ́ɔ.” ","Then each of the leaders of Judah will think to himself: The residents of Jerusalem are my strength through the Lord of Armies, their God. "
"Á ge láʼ gwɔ́ fʉʼó ŋwɛ́, n gÿo mefùɔ pà Yúndà cʉ́ʼ ńgwɔ́ pɔ́ páʼ mmɔ̌g gẅie é gwǒon tsẅɛʼɛ́ nkẅíŋ; kà pɔ́ páʼ nkàʼ pǐŋ gẅie mé něŋ mmɔ̌g mǒ, é shÿɔ́gɔ tsìŋe membwɔ̀ʼ metsǎŋ ngesáŋ ntsíŋ wɔ́ɔ. Pɔ́ ge gÿo pú pyág megàŋ nkwɔʼɔ́ pɔ́b pie ée na gwoŋó pwó yetʉ̀ mbɔɔ pie ée na gwoŋó pwó yekyɛ̀bɛ. Táʼ, ńgʉa na pʉ̀a Yelúzálèm, mbà pɔ́ ge gÿo ké tsẅé pɔ́ tsɛ̀ɛ tÿǒsoŋo yɔ́b.» ","On that day I will make the leaders of Judah like a firepot in a woodpile,   like a flaming torch among sheaves; they will consume all the peoples around them on the right and the left, while Jerusalem continues to be inhabited on its site, in Jerusalem. "
"Cʉ̀apʉ̀a ge gÿo vɔg gÿo metsìŋendá pà Yúndà tsẅɛ́. À cʉa púʼu, epʉ̀a na tsìŋendá fùɔ Ndavîd pâ patsẅé Yelúzálèm, é le gÿo ńkwaŋ ngie pɔ́ ée pɛ́ʼɛ̀ ńcʉa petsɔ́ pà Yúndà wɔ́. ","The Lord will save the tents of Judah first, so that the glory of David’s house and the glory of Jerusalem’s residents may not be greater than that of Judah. "
"Á ge láʼ gwɔ́ fʉʼó ŋwɛ́, Cʉ̀apʉ̀a kábte patsẅé Yelúzálèm: epʉ̀a pie ée tsetsɛ̀ɛ pɔ́b, ńgwɔ́ mepepÿɛ́ɛ pʉ̀a, e tʉ yɔ́b páʼ fùɔ Ndavîd la. Pɔ́ ge gÿo cʉ́ʼ líe pʉ̀a tsìŋendá fùɔ Ndavîd, pɔ́ gwɔ́ pɔ́ páʼ Ssé yɔb la, pɔ́ gwɔ́ pɔ́ páʼ cÿɔ́ʼ Cʉ̀apʉ̀a, á mbwó pɔ́b.","On that day the Lord will defend the inhabitants of Jerusalem,   so that on that day the one who is weakest among them will be like David on that day, and the house of David will be like God, like the angel of the Lord, before them.  # 12:8 Lv 26:8; Jos 23:10 "
"Á ge láʼ gwɔ́ fʉʼó ŋwɛ́, m bú ḿbyág mengwòŋ mie é ge gÿo lÿɔ́ʼɔ Yelúzálèm né ncù. ",On that day I will set out to destroy all the nations that come against Jerusalem.
"Púʼu la, n ge gÿo fÿɔ́gɔ zẅìge pòŋontʉ́m pɔ́ ye sẅíŋtè, á na ngẅɛ̀ fùɔ Ndavîd mbɔɔ na patsẅé tÿǒsoŋo Yelúzálèm. Pɔ́ leen ńké ńtó ńtsɛ́ɛ wɔ́ɔn, ńtí nyìŋ gẅie pɔ́ la lɔg lekwoŋ ésɔbɔ yé. Pɔ́ ge gÿo lʉa yé páʼ mé lʉa múɔ wémɔʼɔ́, é lʉa yé ncʉ̀ŋe cʉ̀ŋe páʼ mé lʉa mvfò múɔ la. ","“Then I will pour out a spirit  ,# 12:10 Is 44:3; Ezk 36:27; 39:29; Jl 2:28–29; Zch 4:6; Ac 2:17 of grace and prayer on the house of David and the residents of Jerusalem, and they will look at  # 12:10 Or to me whom they pierced. They will mourn for him as one mourns for an only child and weep bitterly for him as one weeps for a firstborn.  # 12:10 Jr 6:26; Jn 19:37; Rv 1:7 "
