ngiemboon,en
" Cʉ̀apʉ̀a la gɔɔn nò mbwó Sofoní, á fʉ̀ʼ gie Jÿosiyásè gẅie aa míŋ Amoŋ laa fùɔ pà Yúndà. Sofoní ŋwɛ́ laa míŋ Kushʉ̀, Kushʉ̀ gwɔ́ míŋ Ngendalia, Ngendalia gwɔ́ míŋ Amalia, Amalia gwɔ́ míŋ Ezekiyásè.","The word of the Lord that came to Zephaniah son of Cushi, son of Gedaliah, son of Amariah, son of Hezekiah,   in the days of Josiah  # 1:1 2Kg 22:1–23:30; 2Ch 34:1–36:1; Jr 1:2 son of Amon,  # 1:1 2Kg 21:18–25 king of Judah."
Cʉ̀apʉ̀a ne ńgɔɔn ngie:,I will completely sweep away everything
"N ge pyág pʉ̀a mesoŋ pâ menɔ̀ɔn,",I will sweep away people and animals;  
N ge gÿo nò na pà Yúndà pâ pʉ̀a pie,I will stretch out my hand   against Judah
N ge pyág pʉ̀a pie,those who bow in worship on the rooftops  
"Mèŋ Cʉ̀apʉ̀a, n ge gÿo pyág pʉ̀a pie é tém nzèm yɔ̀ɔn,","and those who turn back from following the  Lord,"
"Pi láŋte mvfò Cʉ̀apʉ̀a Ssé,","Be silent in the presence of the Lord God,  "
"Táʼ, á ge láʼ gwɔ́ lyɛ̌ʼ gie",On the day of the  Lord’s sacrifice
"Á ge láʼ gwɔ́ lyɛ̌ʼ ayɛ̌,",On that day   I will punish
"Cʉ̀apʉ̀a ne ńgɔɔn ngie: á ge láʼ gwɔ́ Yelúzálèm lyɛ̌ʼ ayɛ̌,",On that day —
"Pi patsẅé Magtɛ́shÿè, pi kɔ́ʼ legwé,","Wail, you residents of the Hollow,  "
"À ge láʼ gwɔ́ fʉ̀ʼ ayɛ̌, n dɔgɔ lâm",And at that time I will search Jerusalem with lamps
"Mé ge gÿo lɔg shúm fùʼ sɔ́b sa jʉʼ,",Their wealth will become plunder
"Máamáa lyɛʼɛ́ láʼ Cʉ̀apʉ̀a tsoté tà ne ḿbɔ́ɔnte,","The great day of the  Lord is near,  "
Alyɛʼɛ́ láʼ ŋwɛ́ ge gÿo gwɔ́ lyɛʼɛ́ gyáŋalóŋ;,"That day is a day of wrath,"
"Á ge láʼ gwɔ́ lyɛ̌ʼ ŋwɛ́, mé júʼ páʼ palÿɔ́ʼncù tóŋo ntaŋ,",a day of ram’s horn and battle cry
Cʉ̀apʉ̀a gɔɔn ngie: «Epʉ̀a ka fʉa nò mbwó mèŋ.,"I will bring distress on mankind,"
Atʉ̌ nkáb yɔ́b lâ tʉ̌ ngɔ̂ɔ yɔ́b,Their silver and their gold
