en,ngiemboon
fɔ̂d,fault
mefʉa,faults
ńtsíŋte,favour
ńcÿó gʉ́m,favour
ńcÿɔʼ,fear
cÿɔ̀ʼ,fear
ḿbɔ́g,fear
ncÿɔʼ,fearful person
ḿbɔ́gɔ nyìŋ,fear someone
letoŋó,feather
leffo,feather
ffo,feather
letoŋ,"feather, bird tail"
ngǔʼ,"feather, red bird"
saŋ kàg ngwóŋ,February
ḿbÿɛ́,"feeble, be"
ḿbÿɛ́te,"feeble, become"
ḿbÿɛ́,"feeble, become"
ńdíbe,"feeble , be"
pepÿɛ́ɛ,feeble 
ńjÿɔ́g,feed
ńdye,feed
ńtsáb,feed
njÿǒ shúm,feeding
ésíg,feel
ésíge,feel
ḿmwoon,feel
éssó,feel
ḿmwoonte,feel
ńkwoŋte,feel like doing
ńkúte,feel pain
mekǔ,"fee, membership"
ńgɔgte,"feet, separate"
ńgɔg,"feet, separate"
lêŋ,"feet striking the ground, sound"
ńtsẅete,feint
ńtsẅe,feint
nzwě,female
nkáʼ,fence
