en,ngiemboon
pi né pi,"another, one"
ńgág,antagonize
sẅísẅɛ́ɛ nèm,"ant, black and poisonous sp."
shÿɔ́ʼ ngwɔ̌ʼ,"ant, brown and small sp."
laʼá ndÿɔgɔ́,antelope grass
ngáb,"antelope, sp."
nŋaŋ,antenna
tǎ,anterior future
nkʉ́nkʉʼʉ́,"ant , sp."
gÿàŋa,anthill
foffó,anthill
fʉ̀ŋe sɔ̀ɔn,anthill
leffo,anthill
ńtíʼte,anticipate
ndóŋ,antler
mángɔɔn lekye,ant lion
tákwè tÿɔʼ,"ant, mushroom"
mákěm nkwàʼ,"ant, poisonous sp."
malélúm ntsẅɛ̀ʼ,"ant, poisonous sp."
matÿɔ́ʼ ntsɔɔn,"ant, smelly sp."
sẅísẅɛ́ɛ pwɔʼ,"ant, sp."
lÿó,"ant, sp."
mvòm lÿó,"ant, sp."
málémngʉ̀a,"ant, sp."
mpfémpfɛ̌,"ant, sp."
pfóm,"ant, sp."
kíshʉ,"ant, sp."
máshúa,"ant, sp."
sẅísẅɛ́ɛ,"ant, sp."
késhʉ,"ant, sp."
ffó,"ant, sp."
jʉ́jÿó pwɔʼ,"ant, yellow and small sp."
múɔ ncÿó,anus
múɔ ntsẅɛ̀ʼ,anus
ńzíge,"anus, discharge water"
ndù,anvil
tse,anxiety
mâwɔ̌wɔ́ɔ,anyone
mânyìŋ ntsèm,anyone
wɔ̌wɔ́ɔ,anyone
kɔ̀ɔkɔ́ɔ,anything
ńdíndaʼ,apart from
