en,ngiemboon
ésẅéʼe,"go down, make something"
nkem ssé,God’s servant
ndá Ssé,"God, temple"
gʉ̀a,going
tsétsáʼ pfòŋ,going astray
ngɔ̂,gold
ngɔ̂l,gold
ndʉ̀ʼ,"gong with slit, k."
ndʉʼ kànɔ̀ɔn,"gong with slit, k. vertical"
ndʉʼ metútú,"gong with slit, k. vertical"
lelemé,"gong with slit, k. very large"
metsì,gonorrhoea
mbòŋ,good
mboŋó,good
ngye,good
mbòŋo,good
ḿboŋ,"good, be"
mboo,goodbye
làʼa,"goodbye, game"
zɔ́gɔ ntʉ́,good day
meen,good enough
tàmpfɛ̌yaŋ,good-for-nothing
tyɛ́b,good-for-nothing
tefÿàg nzẅɛ́ʼ,good-for-nothing
tekʉ̌a ńkáŋ,good-for-nothing
sẅì,good-for-nothing
mboŋó,good-heartedness
mboŋó,goodness
mmó metʉ̌a,goods
ńgwóŋ,go on and on
ńtóonte,go one better
jʉ̀jÿó,"gooseberry, Cape"
jʉ̀jÿó ndÿɔgɔ́,"gooseberry, slender wild cape"
legǐ metʉ̌a,goosegrass
legǐ tetʉ̌a,goosegrass
