en,ngiemboon
ńkíg,"hill, start on"
yé,him
yé,him
sé,"him, for"
se,"him, for"
mé,"him, for"
ye,"him, for"
kwàʼ yé,"himself, he"
tsẅé nɔ̀ɔn,"""hind"""
ńtíʼte,hinder
zẅɛ̌ʼ,hip
ngʉ̀a ntse,hippopotamus
ḿmiʼ,"hip, shake"
ḿmiʼte,"hips, shake"
ndɔ̀gɔ ngàŋa fàʼ,"hires, one who"
mé,his
sé,his
wé,his
we,his
wɔ́b,his
pé,his
yé,his
we,his
pé,his
pé,his
yé,his
mé,his
wɔ́b,his
ye,his
we,his
sé,his
ye,his
sé,his
wé,his
yɔ́b,his
yé,his
yɔ́b,his
sɔ́b,his
wé,his
ye,his
sɔ́b,his
sɔ́b,his
yɔ́b,his
wɔ́b,his
mé,his
lemí,hissing
mápitsɔ̀ʼ,history
mándagá,history
ncwò,hit
ńcúɔ,hit
ésyagte,hit
ḿbúʼ,hit
ésyag,hit
ńkɔ́ʼ,hit
mpfɔ́g,hit
ńcúa,hit
ńkẅite,hit 
ńkẅi,hit 
ńtsóte,hit 
ésem,hit strongly
ntsẅìŋe,hitter
ńcʉ́me mánzsè,hit the road
ésyɛ́ʼte,hit with stick
ésyɛ́ʼ,hit with stick
nkà,hit with two drumsticks
nkɔɔn nŋwáʼ,hive
ndá nŋwáʼ,hive
ńtáʼ,"hoarse, be"
ńtáʼ,"hoarse, go"
