en,ngiemboon
ńtúŋte,"join, shutter"
njwòŋo,"joins, one who"
lejÿɔgɔ́,joint
mefagá,joint
lejwoŋó,"joint, finger"
lefagá,joint 
lefegé,joint 
nkem ngù,"jointvetch, Indian"
pyɛ́ʼte,joke
ńtsẅite,joke
ḿbele,joke
pyɛ́ʼ,joke
pelé,joke
kwàŋ,joke
ḿmyɛʼte,jostle
legìŋ,journey
lekág,joy
kíkyɛ́d,"joyweed, sessile"
ntsɔ̀ʼte,judge
ngàŋ nŋàg,judge
ntsɔ̀ʼte ntsaŋ,judge
ńtsɔ́ʼte ntsaŋ,judge
ésáʼ ntsaŋ,judge
ńŋag,judge
ḿbwó,judge badly
ḿbwóte,judge badly
kɔ̂d,judgement
ŋàg,judgement
ngwò,"judgement, k."
nzàʼ ntsaŋ,"judge, presiding"
jÿɔ̂g,jug
saŋ tyɛ̀b tyɛ̀b mbʉ̀ŋ,July
ńkyɛ́,jump
ḿvege,jump
tǒŋ,jump of a frog or toad
sàa nkÿo,jump rope
kyɛ́ɛ nkÿo,jump rope
saŋ njÿoláʼ,June
njÿò láʼ,"June, month"
ngàŋ nŋàg,juror
mbɔ̌,just as
mbɔɔ,just as
