en,ngiemboon
Shǔɔ,Babadjou
Tÿɔʼ,Babete
mbìndàŋ,"baboon, olive"
múɔ mbÿɛ́,baby
kukúlu,baby’s cereal
tánkʉŋ,"""bachelor"""
mù,"""bachelor"""
nkẅì,"""bachelor"""
fʉ̌a,"""bachelor"""
nzèm nkàʼ,back
nkàʼ,back
ńtúu lɔʼ,back-bite
ḿbate,"back, carry"
ḿba,"back, carry"
lejʉʼʉ́,"back, chair"
paa nkàʼ,"back, loader"
nzème pwó,back of the hand
nzèm lóŋ,back of the neck
pɔ̀ɔn nkàʼ,"backpack, k."
ńcúa lesẅɛ̀,"back, slap"
ńcúɔ lesẅɛ̀,"back, slap"
ńjʉa,back up
ńjʉate,back up
ḿbiŋe,back up
tepòŋ,bad
yetepòŋ,bad
pàga tákʉ́ʼ,badge
mága,badge
ḿmʉ́ŋ,"bad, go"
ḿméŋ,"bad, go"
tsẅíŋ,bad luck
kùbo ngɔ́ɔn,bad luck
ḿbwó,"badly, judge"
ḿbwóte,"badly, judge"
tùb lekʉŋ,bad person
ńkí,"bad, smell"
ńdem,"bad, smell"
cwóŋ,"bad, very"
Ffó,Bafou
