en,ngiemboon
ményìŋ,"man, short"
lèŋe lefùɔ,mantis 
lʉ̀ŋe lefùɔ,mantis 
kwɔ̀ʼɔ fùɔ,"mantis, praying"
ńnyɛte,manufacture
éshʉ́te,manufacture
nnyɛ̀te,manufacturer
mekʉ̀ŋe,manure
kʉ̀ŋe,manure
pàŋa,"man, white"
tɛʼ,many
yéshÿɔ́ʼɔ,"many ...?, how"
péshÿɔ́ʼɔ,"many ...?, how"
séshÿɔ́ʼɔ,"many ...?, how"
méshÿɔ́ʼɔ,"many ...?, how"
wéshÿɔ́ʼɔ,"many ...?, how"
menti mentí,many-sided
ngʉ̀a ngʉa,many times
ntsɔ̀ʼ ngɔ̌ɔn,marabou
saŋ lepyè shúm,March
ńcʉate,march past
nzwě lÿoon,mare
ndèpàʼ nkʉ̌a,marijuana
tsẅì,marital problem
ntʉ̀ntʉ̀a,mark
liŋé,mark
ngwɔgɔ́,mark
pǎb,mark
lìi,mark
lyéen,mark
sɔ̌ɔn,market
metʉ̌a,market
lewaŋ,market corner
legwaŋ,market corner
ncú,market entrance
lewaŋ,market shelf
legwaŋ,market shelf
lesìŋte,marking
ńcÿɔʼ,"mark, make"
ńjÿɔg,mark out
ńnÿɔg,mark out
