en,ngiemboon
ńdiŋte,notice slightly
tà mbà,"not, if"
saŋ mejwoŋó,November
fʉ̀ʼɔɔn,now
kẅìi twó,nuisance
masáŋ,number
nzẅìŋ,number
sáŋ,number
nága,numerous
ḿbá,nurse
ńzoŋ,nurse
ndyè fùɔ,"nursemaid, king’s"
ńdʉʼ lépʉ,"nurse, refuse"
kànàlínè,nursery rhyme
leleʼé,nursery school
tɔ̌ɔn,nut
kuʼú tsẅɛ,nutgrass
kuʼú nkèsàŋ,nutgrass
lepfo,"nut, kola"
mênjwò nnáʼ,"nutmeg, African"
tekwé tÿǒ,"nut, physic"
njʉʼ,"nut, pistachio"
kuʼú tsẅɛ,"nutsedge, purple"
kuʼú nkèsàŋ,"nutsedge, purple"
pyɛ̀b,"nuts, game"
tálaʼ,"nut, sp. kola"
