en,ngiemboon
zẅíŋ zẅiŋ,obedient
teŋàg,obedient
ńjúʼ ncwò,obey
mmó,object
táleŋ,objective
lɔg ngwág,object of the consolation
ńtsóte,oblige
síŋesǐŋ,obscure
mwòon nzém,obscurity
nzěm,obscurity
mwòon nzém,"obscurity, intense"
ńnáŋte,observe
ndìe,observer
ngyagyǎ,observer
tèbe,obstacle
mánkẅè,obstetrician
ńdɔg,obtain a result
lekẅé,obtaining
ńdule,"obvious, lump or hump"
ésẅɛ,"occult means, kill by"
ngwɔ̀ɔ,occupant
ncwòfàʼ,occupation
ńkwa lejÿɔ́g,"occupied, make one"
ńtúŋte,occupy oneself
máamáa mí,ocean
saŋ tàŋa tsetsáʼ,October
fɔ̀bte,oedema
éfɔbte,"oedema, have"
ńdʉŋe,"oedema, have"
éfɔb,"oedema, have"
ńdeŋe,"oedema, have"
