en,ngiemboon
nkěm,prominent citizen
ndè,prominent citizen
mekěm,prominent citizens
móonpuʼ,prominent sacrificer
mentsẅɛ̀ʼ lepfwɔʼɔ́,prominent totem
lèʼe,promise
lelèʼe,promise
ḿbÿé,promise
ńkwa,promise
ńkaʼ,promise
gɔ̀ɔn ńgÿo,"promises, person who keeps"
nkùte melàʼ,promoter
manzòŋ,promotion
ńkím,pronounce
ntsẅì nkʉ̀ Ssé,prophet
ngěm ndÿɔ́ʼɔ,prophet
lìi,propolis
nzàʼ ntsaŋ,"prosecutor, public"
ḿbÿé,prosper
ngesáŋ mànzòŋ,prostitute
káa tÿó,prostitute
kwàlà,prostitute
ngàŋ mpfwɔ̀ʼ,prostitute
ḿpfwɔʼɔ,"prostitute, make someone become"
ńkwala,prostitute oneself
ńkʉŋ,protect
mbɔ̀ɔn,protector
ntÿɔ̀ʼte,protector
shÿòonte,protein
pòlosetâŋ,Protestant
ńkág,"proud, be"
ńgáŋte,"proud, be"
éfómte,"proud, be"
lefǒ,provenance
sàg legʉa,proverb
sagá nò,proverb
kwɔ̌ɔn nò,proverb
sàga,"proverbs, speaker"
pàga ngwòŋ,province
