en,ngiemboon
ńgebe,rave
ńgʉbe,rave
mbÿag,raw
pembÿág,raw
sembÿag,raw
wembÿag,raw
membÿag,raw
mbÿɔg,raw
yembÿag,raw
meŋwʉŋé,ray
lekʉ̀a,ray
ŋwʉ̀ŋ nèm,ray of sunlight
ntʉ̌a nèm,ray of sunlight
lísà,razor blade
ńkumte,reach by attacking
jwòŋo,"reach, long"
mbìŋe,reactionary people
ńtóŋ,read
letòŋo,reader
ntòŋ,reader
tème nkyɛ,ready-to-wear clothes
ḿ-,"realis, imperfective"
ń-,"realis, imperfective"
é-,"realis, imperfective"
ssé,realis progressive aspect
ńděen ńké,really
ḿ-,really
ń-,really
é-,really
ńkwaʼ,really
kwàʼ,really
tyèen,reason
ntoŋ,reason
ndèndàʼ,reason
métsyɛ,rebel
métsyɛ,rebellious
ésẅíʼi,rebuild
ù gu gu,recall questioning
ńjwoŋte,recapture
ńkúe,receive
ńkúete,receive from time to time
ńdye,receive someone
ńdye gʉ̀,receive the invited one
njÿênjÿê,recently
njÿê,recently
