en,ngiemboon
táagwèle,towel
mbábálobá,"toy, k."
tétáŋ ndyèente,toy’s firing tool
ndyèente,toy soldier
ńkʉa,trace
ńtʉa,trace
nkàŋa,traced line
ńcÿɔʼte,trace points
lyěen nzsè,track
ńkem nzse,track down
ntàŋ sɔ̌ɔn,tradesman
ntàŋ metʉ̌a,tradesman
nzsǒ lekÿo,traditional cloth
ngàba láʼ,traditional week
ńnúʼe,"traffic jam, be in"
tsẅíŋ,tragedy
lʉ̀a megʉa,tragedy
lyěen nzsè,trail
éshwoŋte,train
ńtsyeen,train
ngàŋa ffo,trainer
ndyɛ̀bte,trainer
ńtswáʼ,train oneself
nẅɛ̀ʼnẅɛ̀ʼ ńgwɔ́ nkʉŋkʉŋ,traitor
sẅìŋ ngwòŋ,traitor
nàʼnàʼ ńgwɔ́ nkʉŋkʉŋ,traitor
ngàŋ nzìbte,tramp
lème ńnéŋe,tramp
ngàŋa pú,tramp
ńneŋ,trample on
ńtẅe,trample on
ńneŋte,trample on
ésele,"transformed, be"
ntúm,transition
lyèente,transition
ńkyagte,translate
kyàgte,translation
ntúm,translation
