en,ngiemboon
ésẅile,"ugly, be"
fʉfʉ̌ŋ,ulcer
letoŋ,umbilical cord
kàbte,umbrella
gùbe,umbrella
tàʼ ncwò,unanimous
nɔ̀ɔn temaʼ,unassailable
ńdéŋ,unbalance
ńdʉ́ŋ,unbalance
tèkùʼu nò,unbearable
lemaŋ,"unbelievable, something"
tezáʼà,unceasing
nzèm mbàʼ,unclean place
mbÿag,uncooked
pembÿág,uncooked
sembÿag,uncooked
wembÿag,uncooked
membÿag,uncooked
mbÿɔg,uncooked
yembÿag,uncooked
ńdúʼte,uncover 
tsìŋe,under
mbaŋlòŋ,underpants
ńjúʼ,understand
kesse kǔ,under the bed
ésẅɛ,undress
zàʼa cʉ̀a,"unearthly hour, at"
temì,unfinished
temàg,unfinished
tàapfó,unfortunate
gyà ngɔ́ʼ,unfortunate creature
mbǎʼ nyìŋ,unfortunate creature
ngàŋ ngɔ́ʼ,unfortunate creature
ngàŋ lóŋ,unfortunate 
maapfó,unfortunate woman
ńkẅé ntáŋ,unfounded accusation
