en,ngiemboon
ŋwa,"worm, giant intestinal round-"
ngingi,"worm, intestinal"
ngingi mágsè,"worm, tape"
ńdíbe,"worn out , be"
ḿmÿagte,worry
ḿmÿɔgte,worry
ḿmÿɔg,worry
ḿmÿag,worry
ńtsyɛte nnɛ́,worry oneself
ńkí,"worse, get"
ńnaŋ,"worse, get"
ńdẅɛ,"worse, get"
ńnyaŋ,"worse, get"
ńdúte,"worse, make"
ngàŋ shʉ́,worthy
fʉ̌ŋ,wound
ńtége,"wound, suffocate"
mòon nkíle,woven mat
sànzà,wrap-around cloth
ḿbíʼte,"wrapping, withdraw without"
ńkwɛ́te,wrap up
mbwɔ̀ʼte,wrecker
mbwɔ̀ʼɔ,wrecker
ńdÿo,wrestle
ńcwée,wrestle
ńcúa melàʼ,wrestle
ńcúɔ melàʼ,wrestle
ńtág melàʼ,wrestle
ntàg melàʼ,wrestler
ngàŋ melàʼ,wrestler
melàʼ,wrestling
lekwɛ̀,wrestling
nkwɛ̀,wrestling
mbwó twó,wretch
mbǎʼ nyìŋ,wretch
tàapfó,wretched
tèkǔ na nò,wretched
maapfó,wretched woman
ńtag,wriggle
ńgʉ́ŋte,wring
ńŋwɔ́ʼ,wring
ńtẅí,wring
ńcʉ́m,wring out
ńcʉ́mte,wring out
