en,ngiemboon
ségè,your and our
ségè,your and our
shʉ́gè,your and our
wégè,your and our
yégè,your and our
jʉ́gè,your and our
shʉ́gè,your and our
wégè,your and our
yégè,your and our
jʉ́gè,your and our
nkwɔbɔ́,Your Excellency
pí,yours
pú,yours
gẅí,yours
jú,yours
gi,yours
gí,yours
gù,yours
mú,yours
gú,yours
jù,yours
sí,yours
gẅi,yours
mí,yours
shú,yours
wɔ́gɔ̀,yours and mine
yɔ́gɔ̀,yours and mine
mɔ́gɔ̀,yours and mine
yɔ̀gɔ,yours and mine
wɔ̀gɔ,yours and mine
pɔ́gɔ̀,yours and mine
sɔ́gɔ̀,yours and mine
jʉ́gè,yours and ours
ségè,yours and ours
yégè,yours and ours
wégè,yours and ours
shʉ́gè,yours and ours
kwàʼ gù,"yourself, you"
kwàʼ pi,"yourselves, you"
leshùm,youth
nkàŋ nyìŋ,youth
gù,you yourself
kwàʼ gù,you yourself
kwàʼ pi,you yourselves
