en,ngiemboon
gwâ,"cloth ripping, sound"
leshù,"cloth sack, k."
nzsǒ lekÿo,"cloth, traditional"
sànzà,"cloth, wrap-around"
lém,cloud
melɔ́ɔn,clouds
ńtáb,"cloudy, make liquid"
ńtáb,"cloudy, make water"
ńcÿo,clout
tsétsáʼ pfòŋ,clown
késiŋ,club
siŋ,club
lǔŋ,club
késiŋ,club
ńkua,cluck
ńkuɔ,cluck
ḿbáte,"clues, search by following"
ntsɔ̀ʼ,clump
lekyɛ̀bɛ,clumsiness
swáŋlekyɛ̀bɛ,clumsiness
ntsàncùa,cluster
ncùa,cluster
ncùɔ,cluster
ntsèen,coach
ntsyèen,coach
kyé,coal
kyé mmɔ̌g,coal
ńzɔ́ʼte,coat
sólómákà,cobbler
súlúmákà,cobbler
nnú metyé,"cobra, spitting"
ssé nnú,"cobra, spitting"
mênkɔ̀ʼ,cock
mbèpà,cockroach
mbìpí,cockroach
sèsàʼ,cock’s comb
kàaká,cocoa
