en,ngiemboon
fʉ̀ʼ ntsèm,each time
ńtséʼe,eagerly do
gúm ndóŋ,"eagle, crowned"
letuŋó,ear
tsɔ̀ʼ,ear
lejúʼu ngẅi,"earaches, weed that treats"
ńtoŋte,"ear dirt, clean out"
cÿɔ́ʼ letuŋó,ear lobe
ḿmʉ́,early riser
lepuʼú pfó,ear of corn
ŋwóon ngesáŋ,"ear of corn, immature"
lepuʼú pfó,ear of maize
metuŋó vɔ̀g,"ears, bat’s"
túʼu pfó,"ears, cereal"
ńneme,"ears, clean out one’s"
túʼu pfó,"ears, sickness"
ngesáŋ ffòffò,"ear, stalk without"
pàŋ tsetsáʼ,"earth, red"
tsẅìte,earthworm
nkentàʼntʉŋé,earthworm
ngi,"earthworm, sp."
ffó letuŋó,earwax
nenème,earwax
saʼá nèm,East
sǎʼ nèm,East
Páskà,Easter
ḿbʉ́le,"easy, be"
ńjÿó,eat
ḿpfɛ́,eat
ésẅéʼe,eat
ńkwag,eat a lot of ground nuts
