ngiemboon,en
ésẅɛ́,oppress
ésẅɛ́,stifle
ésẅɛ́,do the combination
ésẅɛ́,grip
ésẅɛ́, squeeze
ésẅɛ́, tighten
ésẅɛb,pin on
ésẅɛb, catch
ésẅɛb, nab
ésẅɛb, pinch
ésẅɛ́bte,mount
ésẅɛ́bte,divert
ésẅɛ́bte, embezzle
ésẅɛte,be pressed
ésẅɛte, hurry
ésẅɛte, dispatch
ésẅɛʼ,celebrate
ésẅɛʼ, do sacrifices
ésẅɛ́ʼ,go down
ésẅɛʼte,move
ésẅɛʼte, move back
ésẅi,insert
ésẅi, drive in
ésẅi,insert
ésẅi,aggravate
ésẅi, irritate
ésẅi,get irritated
Te sẅite lóŋ wɔ̀ɔn.,Don't irritate me.
ésẅi,poll
ésẅi,probe
ésẅi, gauge
ésẅí,lick with a finger
ésẅí,drink 
ésẅí,suck
ésẅí,take in
ésẅíbe,grip
ésẅíbe, squeeze
ésẅíbe, tighten
ésẅíe,throw very far
ésẅíe,suck
ésẅige,be ahead of
À sẅigé ńgʉa ńnyé wɔ́ɔn.,He beat me to it.
ésẅíge,burn 
ésẅíge,deny
ésẅile,be ugly
ésẅile,accuse
ésẅile, have a grudge against
"Ɔ̀ lɔɔn ńdúɔ, à te ná, te sẅile yé.","If you ask and he doesn't give you, don't blame him."
éfiŋ,skin
éfiŋ, scratch
ésẅiŋ,skin
ésẅiŋ, scratch
éfiŋ,skin
éfiŋ, scratch iteratively
ésẅiŋ,skin
ésẅiŋ, scratch iteratively
éfiŋ,sell
ésẅiŋ,sell
ésẅíŋte,supply
ésẅíŋte, beg
ésẅíŋte, pray to
ésẅiʼ,metamorphose
ésẅíʼi,go down
ésẅíʼi,rebuild
