ngiemboon,en
a-,a
"apɔ̀ɔn,",a bag.
á,to
á, in
á, on
Shʉ́ŋngẅi néŋe nzɔ̌? Á ssé.,Where is the partridge sitting? On the ground.
á,he
á, she 
á,he
á, she 
"À toŋó wɔ́ɔn, á fó tsìŋɔɔn ńzẅíŋ.","He called me, he  accepted from downstairs."
à,he
à, she 
À ne ńguɔ.,He is sick.
à cʉ́ʼ fʉ̀ʼʉ yɛ̌,see you soon
à cʉ́ʼ mbaʼámbaʼ,see you tomorrow
à cʉ́ʼ jǔɔ,see you tomorrow
à cʉ́ʼ mbaʼámbaʼ,see you tomorrow morning
à cʉ́ʼ púʼu,see you soon
à cʉ́ʼ tsɔ́ fʉ̀ʼ,see you later
à cʉʼ wɔ́gɔ̀,see you soon
á lekɔ́,how are you?
á nue kɔ́,why
á nue kɔ́, for what reason
"Ɔ̀ gɔɔn ngie n těen ńge ḿpfɛ́ mbab wɔ́, á nue kɔ́?",Why do you say I won't eat meat?
aa,it’s 
Aa shǔ wɔɔn mie n die.,It’s my friend I’m looking at.
áa,it’s 
"Anò gie ɔ̀ gɔɔn, áa nò.",What you say is correct.
aamɛɛn,so be it
À gÿǒ sẅíŋtè tà ńcúme lê aamɛɛn.,He prayed until closing with an amen.
aayi,
Aayi! Mbàŋa tʉ̌ kǔ kwò mèŋ.,“Aayi”! The nail stuck in my foot.
legáʼ,development
agáʼ,development
ayí,friend 
agí,friend 
"Agí, tóo ḿpfɛ́ɛ mekú!","Friend, come and eat the bean!"
agûb,public
À lɔ̌g shúm sɔ́ɔn ńgÿo shúm agûb.,He made my things public.
agyɔɔnme,help
"Àgyɔɔnme, afÿɛ sɔbɔ wɔ́ɔn me!","Help, the murderer stabbed me!"
alálàlǔŋ,honorific slogan 
Pɔ́ zɔ̌b tà ngie alálàlǔŋ.,They sang until they said “alálàlǔŋ”.
tsɔ́,certain
tsɔ́, other 
atsɔ́,certain
atsɔ́, other 
tsɔ́,certain
tsɔ́, other 
atsɔ́,certain
atsɔ́, other 
Atsɔ́ pɔ̀ɔn ya gwɔ́ ɔ́?,Where is the other bag?
tsɔ̌,certain
tsɔ̌, other 
atsɔ̌,certain
atsɔ̌, other 
tsɔ̌,certain
tsɔ̌, other 
atsɔ̌,certain
atsɔ̌, other 
Atsɔ̌ mêngwe pfɛ̌ mbum ngáb mɔ́ɔn ntsèm.,A certain dog ate all my eggs.
agí,friend 
ayí,friend 
"Ayí, tóo peg ɔ̀ gʉa!","Friend, come and let's go !"
