ngiemboon,en
sẅísẅɛ́ɛ pwɔʼ,sp. ant that helps mushrooms sprout
sẅísẅíi,pointed end
sẅísẅíi,sp. shrew
sẅìte,pollster
sẅíʼi nzẅìŋ,lower
sẅíʼi nzẅìŋ, to make someone indignant
tɔ̂g,sound of a slap
syâg,sound of a slap
"À cǔa pwó letuŋó múɔ, á gӱo lê syâg.",He slapped the child and it went “syâg”.
syè,gizzard
syɛ̀b,comb
syɛ̀te,scratch 
Nzẅíŋ neŋé zyɛ̀te na tepwó wɔ̀ɔn.,The grass put the scratch on my finger.
syɛ̀te,small
syɛ̀te, little
syɛ̀te, few
syɛ̀te, twig
À nǎ pɔ́ syɛ̀te né mèŋ.,He only gave me little.
syɛ́ʼ,gossip
syɛ́ʼ,fallow
syɛ́ʼ, crop rotation
syɛʼɛ́ soon,falsely accused
