ngiemboon,en
gwâ,sound of cloth ripping or rain beating down
Nzsǒ ye shʉ̌a lê gwâ.,His clothes were torn like “gwâ”.
gwág,saucepan
ncʉ́agwág,cowpea leaf
gwága mekú,cowpea leaf
gwága ntse,mouth
gwága ntse, mouthpiece
gwága ntse, estuary
gwága ntse, delta
gwáŋa,famine
gwáŋa, food shortage
gwàte,mixture
gwáʼ,epilepsy
gwaʼ ntaŋ,k. cultural dance
gwáʼa,plague
gwáʼa, pest
gwèle ntʉ̀,tulip tree
gwèle sẅɛ̀ʼɛ,siala
gwèle sẅɛ̀ʼɛ,boundary tree
gwǒŋ,profile
gwǒŋ, side
gwǒŋ, flank
ngwɔ̀b ,hook
ngwɔ̀b , pitchfork
 ngwɔ̀bɔ,hook
 ngwɔ̀bɔ, pitchfork
gwɔ̀bɔ,hook
gwɔ̀bɔ, pitchfork
kwóŋte ,trick
kwóŋte , trickery
kwóŋte , exploitation
 kwóonte,trick
 kwóonte, trickery
 kwóonte, exploitation
gwɔ́bte,trick
gwɔ́bte, trickery
gwɔ́bte, exploitation
gwɔ́g,file
gwɔ́gɔ mbɔ̀ɔn,k. musical instrument
gwà,sp. tree
gẅà,sp. tree
gẅe megʉa,comedy
gẅète,smile
gẅi,that one
gẅi, that one there 
gẅi,that
gẅi, that ... there 
Nkáʼ wɔɔn fáŋ ńcʉa gẅi.,This field is bigger than that one.
gẅi,yours 
gẅi,your 
gẅi,your 
gẅi,for you 
"Gʉa na ngáb gi, ńgwoon gẅi.","Among the chickens there, stop yours."
gẅí,you 
N tóŋo gẅí.,I'm calling you.
gẅí,yours 
gẅí,your 
gẅí,your 
gẅí,for you 
"Nkáʼ wég wɔɔn, é gẅí gwɔ́.","Here is our field, where is yours."
gẅie,that
gẅie, who 
Tóo ḿbí nkẅíŋ gẅie é nuŋe jʉʼɔɔn lɔɔn ńdɔg ńgʉa.,Come and take the wood that is here to leave.
gẅǐɛ,step
gẅǐɛ, rung
Á zɛ́tè megẅǐɛ mentá tá mmo yɔɔn poŋ.,It takes three steps for this thing to succeed.
