ngiemboon,en
lʉ̀ŋe lefùɔ,mantis 
lèŋe lefùɔ,mantis 
lʉ̀ŋte,imitation
lèŋte,imitation
lʉ̀ŋte,test
lʉ̀ŋte, exam
lʉ̀ŋte, examination
lèŋte,test
lèŋte, exam
lèŋte, examination
leŋwɔʼɔ́,turn
leŋwɔʼɔ́, bend
leŋwɔʼɔ́,curve
lepàa,boundary
lepàa, limit
tʉ̂a nkáʼ,hedge
lepàa nkáʼ,hedge
lyagá,wing
lepab,wing
lepagá,moth 
lepàŋndâŋ,independence
lepàŋndâŋ,k. cultural dance
lepáʼ,cushion
lepfɛ́,pile of filth
lepfo,kola nut
lepfó,neighbourhood of a village
lepfòm,stomach
lepfòm, belly
lepfòm ndʉ̀ŋe lìi,bloated stomach
lepfòm ndàŋa lìi,bloated stomach
lepfòm ndǔm,sick stomach
lepfòm ndǔm, colic
lepfòm ndàŋa lìi,bloated stomach
lepfòm ndʉ̀ŋe lìi,bloated stomach
lepfòm nkwo,diarrhoea
lepfɔb,bulb
kùkwóon,mortar
lepfwɔʼ,mortar
lepfwɔʼɔ́,nine
lepí,fall
lepí,gutter
lepí,loud noise
lepigé,consultation
lepigé, meeting
lepiʼí,birdhouse
lepiʼí,cradle
lepiʼí, crib
